ind,node,weekday_in_core,weekday_out_core,weekend_in_core,weekend_out_core
133,LORONG 8 TOA PAYOH,12776,12195,7591,7019
134,LORONG AH SOO,14278,14023,8195,8377
135,LORONG CHUAN,12461,12195,6850,6634
136,LORONG HALUS,1139,763,649,352
137,LOWER SELETAR,8453,12785,4956,7726
138,LOYANG EAST,4147,5846,1963,3518
139,LOYANG WEST,8281,4851,4212,1925
140,MACKENZIE,7539,8799,5143,5814
141,MACPHERSON,14278,14023,8195,8377
142,MALCOLM,13642,13524,7647,7534
143,MANDAI EAST,6777,4723,4296,3085
144,MANDAI ESTATE,3703,2423,2299,1419
145,MANDAI WEST,2063,1403,1187,762
146,MARGARET DRIVE,12733,13524,7377,7726
147,MARINA CENTRE,14278,13942,8195,8377
148,MARINA SOUTH,633,576,517,456
149,MARINE PARADE,14278,14023,8195,8377
150,MARITIME SQUARE,14278,14023,8195,8377
151,MARYMOUNT,14278,14023,8195,8377
152,MATILDA,14278,14023,8195,8377
153,MAXWELL,2545,1526,1752,1004
154,MEI CHIN,14278,14023,8195,8136
155,MIDVIEW,11312,12290,6470,7087
156,MONK'S HILL,2314,1670,1152,863
157,MOULMEIN,14278,14023,8195,8377
158,MOUNT PLEASANT,9666,9236,4879,4459
159,MOUNTBATTEN,11749,12587,6711,7385
160,NASSIM,13642,14023,8112,8136
161,NATIONAL UNIVERSITY OF S'PORE,14278,14023,7364,7566
162,NATURE RESERVE,12232,12581,6977,7173
163,NEE SOON,5142,4321,3049,2356
164,NEWTON CIRCUS,14278,14023,8195,8221
165,NORTH COAST,13515,12781,8112,7874
166,NORTHLAND,8453,10710,4888,6238
167,NORTHSHORE,3965,4013,3361,3629
168,ONE NORTH,14278,14023,8112,7782
169,ONE TREE HILL,8415,8818,5012,5291
170,ORANGE GROVE,2555,1448,1701,826
171,OXLEY,3335,3718,2228,2511
172,PANDAN,6272,4380,2607,1895
173,PANG SUA,1606,1556,602,566
174,PASIR PANJANG 1,14278,13524,8195,7644
175,PASIR PANJANG 2,11796,13524,4866,5827
176,PASIR RIS CENTRAL,14278,14023,8195,8377
177,PASIR RIS DRIVE,14278,14023,8195,8377
178,PASIR RIS PARK,5506,8116,3433,5388
179,PASIR RIS WAFER FAB PARK,6813,2858,3991,1620
180,PASIR RIS WEST,14278,14023,8195,8377
181,PATERSON,7417,10398,5717,6817
182,PAYA LEBAR EAST,2333,2627,1125,1261
183,PAYA LEBAR NORTH,6518,5620,4225,3540
184,PAYA LEBAR WEST,1972,1506,731,570
185,PEARL'S HILL,12981,13524,7591,8136
186,PEI CHUN,4702,8081,2771,4649
187,PENG SIANG,13435,9559,8112,5679
188,PENJURU CRESCENT,2619,3576,1307,1775
189,PEOPLE'S PARK,14278,14023,8195,8377
190,PHILLIP,2052,220,643,44
191,PIONEER SECTOR,958,1340,538,734
192,PLAB,2144,3725,807,1700
193,PORT,12114,10755,5717,6144
194,POTONG PASIR,14278,13524,8195,7616
195,PUNGGOL FIELD,14278,14023,8195,8377
196,PUNGGOL TOWN CENTRE,12227,12781,7065,7596
197,QUEENSWAY,9575,11513,5012,6817
198,RAFFLES PLACE,12758,13524,4728,5354
199,REDHILL,14278,14023,8195,8136
200,RESERVOIR VIEW,2001,1858,1143,1198
201,RIDOUT,9541,9675,5717,5525
202,RIVERVALE,14278,14023,8195,8377
203,ROBERTSON QUAY,12565,11966,7377,7081
204,ROCHOR CANAL,9073,8751,5514,5505
205,SAFTI,796,2771,431,1366
206,SAMULUN,1689,856,749,449
207,SAUJANA,13642,13907,8112,8136
208,SELEGIE,7244,6603,4377,3917
209,SELETAR,7844,8436,4650,4893
210,SELETAR AEROSPACE PARK,3633,3741,1597,1721
211,SELETAR HILLS,10321,8213,5075,4389
212,SEMBAWANG CENTRAL,14278,14023,8195,8377
213,SEMBAWANG EAST,4242,5891,2459,3707
214,SEMBAWANG HILLS,10022,8436,5535,5022
215,SEMBAWANG NORTH,10221,8436,6239,4927
216,SEMBAWANG SPRINGS,8845,8436,5449,5185
217,SEMBAWANG STRAITS,1309,1753,1069,1511
218,SENGKANG TOWN CENTRE,14278,14023,8195,8377
219,SENGKANG WEST,2455,2772,1570,1562
220,SENJA,14092,13942,8112,8136
221,SENNETT,14278,13524,8195,7569
222,SENOKO NORTH,4607,5377,2713,2970
223,SENOKO SOUTH,7180,7718,3213,3743
224,SENOKO WEST,4607,6391,2713,3786
225,SENTOSA,2906,1560,2332,1740
226,SERANGOON CENTRAL,14278,14023,8195,8377
227,SERANGOON GARDEN,14278,14023,8195,8377
228,SERANGOON NORTH,14278,14023,8195,7726
229,SERANGOON NORTH IND ESTATE,10037,8361,4225,3510
230,SHANGRI-LA,14278,12669,8195,7616
231,SHIPYARD,1538,1758,704,785
232,SIGLAP,5980,12587,3577,7402
233,SIMEI,14278,14023,8195,8377
234,SINGAPORE GENERAL HOSPITAL,14278,14023,8112,8136
235,SINGAPORE POLYTECHNIC,14278,14023,8112,7782
236,SOMERSET,14278,14023,8195,8377
237,SPRINGLEAF,8257,4950,4585,2915
238,STRAITS VIEW,2678,3191,1932,2421
239,SUNGEI ROAD,12630,12925,8195,7782
240,SUNSET WAY,7640,5888,4169,2960
241,SWISS CLUB,12461,12581,6835,7390
242,TAGORE,11628,9083,6239,5145
243,TAI SENG,14278,14023,8195,7782
244,TAMAN JURONG,14278,14023,8195,8377
245,TAMPINES EAST,14278,14023,8195,8377
246,TAMPINES NORTH,6777,9253,4249,5666
247,TAMPINES WEST,14278,14023,8195,8377
248,TANGLIN,2505,2776,1358,1478
249,TANGLIN HALT,12981,13524,7591,7726
250,TANJONG PAGAR,11945,12925,4426,5154
251,TANJONG RHU,12224,12587,7092,7726
252,TEBAN GARDENS,14278,13524,8195,7874
253,TECK WHYE,14278,14023,8195,8377
254,TELOK BLANGAH DRIVE,14278,13524,8195,7874
255,TELOK BLANGAH RISE,12981,13524,7858,7726
256,TELOK BLANGAH WAY,8830,13524,5103,7712
257,TENGAH,5099,4389,2908,2491
258,TENGEH,536,622,326,360
259,THE WHARVES,1273,2971,900,2124
260,TIONG BAHRU,12981,13524,7913,7726
261,TIONG BAHRU STATION,14278,14023,8195,8377
262,TOA PAYOH CENTRAL,14278,14023,8195,8377
263,TOA PAYOH WEST,14278,14008,8195,7990
264,TOH GUAN,13515,13524,8112,7726
265,TOH TUCK,12461,12581,6835,6873
266,TOWNSVILLE,14278,14023,8195,8377
267,TRAFALGAR,14278,14023,8195,8377
268,TUAS BAY,7266,5917,3959,3726
269,TUAS NORTH,7316,6244,3959,3726
270,TUAS PROMENADE,5617,5605,3085,3726
271,TUAS VIEW,2515,2258,1932,1366
272,TUAS VIEW EXTENSION,1251,1184,1039,872
273,TUKANG,6794,3576,3067,1825
274,TURF CLUB,13515,12781,8112,7874
275,TYERSALL,12981,13942,7591,7874
276,ULU PANDAN,9541,4693,5542,2557
277,UPPER PAYA LEBAR,14278,13524,8195,7782
278,UPPER THOMSON,14278,14023,8195,8377
279,VICTORIA,14278,14023,8195,8377
280,WATERWAY EAST,14278,14023,8195,8275
281,WENYA,7792,7588,4108,4190
282,WEST COAST,8452,4926,4381,2765
283,WESTERN WATER CATCHMENT,7792,8100,4522,4505
284,WOODGROVE,7251,12781,4451,7874
285,WOODLANDS EAST,14278,14023,8195,8377
286,WOODLANDS REGIONAL CENTRE,14278,14023,8195,8377
287,WOODLANDS SOUTH,6777,10897,3597,6380
288,WOODLANDS WEST,14278,14023,8195,8377
289,WOODLEIGH,9851,5625,5284,3060
290,XILIN,14278,14023,7579,7726
291,YEW TEE,13435,13414,8112,7874
292,YIO CHU KANG,14278,14023,8195,8218
293,YIO CHU KANG EAST,10927,9068,3991,3645
294,YIO CHU KANG NORTH,4381,9906,1859,4967
295,YIO CHU KANG WEST,14278,12669,8195,7616
296,YISHUN CENTRAL,14278,14023,8195,8377
297,YISHUN EAST,10321,12575,6239,7596
298,YISHUN SOUTH,10321,14023,6239,8377
299,YISHUN WEST,14278,14023,8195,8377
300,YUHUA EAST,14278,14023,8195,8136
301,YUHUA WEST,14278,14023,8112,8136
302,YUNNAN,14278,14023,8112,8232
