ind,node,weekday_in_core,weekday_out_core,weekend_in_core,weekend_out_core,weekday_in_core_lvl,weekday_out_core_lvl,weekend_in_core_lvl,weekend_out_core_lvl,weekday_ksc_ent_in,weekday_ksc_ent_out,weekend_ksc_ent_in,weekend_ksc_ent_out
192,PLAB,2144,3725,807,1700,0,0,0,0,0.8434423890096427,0.5212537069055718,0.8132128178233993,0.7914749760394841
193,PORT,12114,10755,5717,6144,0,0,0,0,0.5935688321454919,0.9631326501110333,0.6823699717920393,0.986399524648635
194,POTONG PASIR,14278,13524,8195,7616,1,1,1,0,0.6853255440342043,0.552204534530314,0.6309220517652046,0.9489334695702053
195,PUNGGOL FIELD,14278,14023,8195,8377,1,1,1,1,0.5428555471358035,0.45638793949074286,0.5316745861616745,0.4974581824070385
196,PUNGGOL TOWN CENTRE,12227,12781,7065,7596,0,0,0,0,0.2975573015076302,0.25148841538364275,0.35992949998164814,0.3272978744182434
197,QUEENSWAY,9575,11513,5012,6817,0,0,0,0,0.9281666994256269,0.5820564970260155,0.7318319148449063,0.5555980827054712
198,RAFFLES PLACE,12758,13524,4728,5354,0,1,0,0,0.5969090874368443,0.4868985004636279,0.5683286893394095,0.4817019415290839
199,REDHILL,14278,14023,8195,8136,1,1,1,1,0.8917024853008396,0.3859636520759766,0.8670064174861846,0.37099526283676487
200,RESERVOIR VIEW,2001,1858,1143,1198,0,0,0,0,0.8494780782408783,0.9924177046306608,0.909621080627755,0.9268708836615731
201,RIDOUT,9541,9675,5717,5525,0,0,0,0,0.972329119167362,0.5768755074411193,0.9974492423085478,0.6001094973796333
202,RIVERVALE,14278,14023,8195,8377,1,1,1,1,0.3979744989729206,0.2540372259880918,0.41919015368294493,0.18898620812684988
203,ROBERTSON QUAY,12565,11966,7377,7081,0,0,0,0,0.8787723588854992,0.5711298382889913,0.9474968681831605,0.6147951684682958
