ind,name,epi_val,loc_x,loc_y,geometry,lon,lat
0,SERANGOON NORTH,0.0033930894417768106,32458.803173465694,39597.640171283405,POINT (32458.80317346569 39597.6401712834),103.87338413505712,1.3743811725967463
1,FAJAR,0.002065971707199484,21080.957329295943,40748.09264324082,POINT (21080.95732929594 40748.09264324082),103.77114573662689,1.384784970108086
2,BEDOK NORTH,0.02113979153748735,39429.21049156652,34737.619446747325,POINT (39429.21049156652 34737.61944674733),103.93601636847204,1.330427062198657
3,KAKI BUKIT,0.008466664327863603,36485.39517446239,35307.04080713547,POINT (36485.39517446239 35307.04080713547),103.90956473343587,1.335577667712437
4,DHOBY GHAUT,0.003904399570647534,29320.073554728595,31245.748357182987,POINT (29320.07355472859 31245.74835718299),103.84518002888262,1.298849935041289
5,PEI CHUN,0.002162151302442441,30814.328258380167,35440.97036622371,POINT (30814.32825838017 35440.97036622371),103.85860695561433,1.3367899379225054
6,GUL BASIN,0.0006040352401087267,10327.423366876139,31746.761667102444,POINT (10327.42336687614 31746.76166710244),103.67452251642794,1.3033759122365716
7,COMMONWEALTH,0.002181995892531071,24278.770993891714,31919.970091767424,POINT (24278.77099389171 31919.97009176742),103.79988159822591,1.3049471631194771
8,TOH TUCK,0.002899380628893325,19433.120409303167,34884.24814481723,POINT (19433.12040930317 34884.24814481723),103.7563403595505,1.331754060305392
9,TENGEH,0.00023926003969556003,7798.167715521637,35535.612755582784,POINT (7798.167715521637 35535.61275558278),103.65179360088587,1.3376392238075476
10,TECK WHYE,0.003439565820529348,19269.994201727684,40394.10505745955,POINT (19269.99420172768 40394.10505745955),103.75487297478932,1.3815831503896874
11,CLEMENTI NORTH,0.006781736270390149,20613.245074511975,33368.822558973545,POINT (20613.24507451197 33368.82255897354),103.76694480141852,1.3180494070634505
12,MALCOLM,0.0015493524652176224,28070.258491902667,33930.25681975641,POINT (28070.25849190267 33930.25681975641),103.83394988905934,1.3231277104348789
13,WENYA,0.0015272080282964925,13953.527110915462,37532.720903719426,POINT (13953.52711091546 37532.72090371943),103.70710197456586,1.3557038062008728
14,SIGLAP,0.0007071604706269827,38435.467924655,32101.881289972705,POINT (38435.467924655 32101.88128997271),103.92708615754032,1.3065907673757353
15,CLARKE QUAY,0.002076136809421514,29253.20737914155,30222.86451497017,POINT (29253.20737914155 30222.86451497017),103.84457916573413,1.289599336117089
16,CHINA SQUARE,0.001784740532194098,29509.64371894011,29646.449509589736,POINT (29509.64371894011 29646.44950958974),103.84688332472224,1.2843864300069896
17,SIMEI,0.005980279492317473,41431.06319789565,35870.78529241022,POINT (41431.06319789565 35870.78529241022),103.95400459933681,1.3406741701417189
18,YISHUN EAST,0.005414068369902269,29476.599550623632,45515.71964142526,POINT (29476.59955062363 45515.71964142526),103.84658719046679,1.427902455042988
19,CITY TERMINALS,0.001355366834717955,28387.338879345003,27536.56717797017,POINT (28387.338879345 27536.56717797017),103.83679894673475,1.2653054268598458
20,NATURE RESERVE,0.001150880500711786,21822.627365703767,37285.26155418757,POINT (21822.62736570377 37285.26155418757),103.7778109222243,1.3534685435461447
21,PENJURU CRESCENT,0.0009951627194655353,17651.309092268853,31799.610293651014,POINT (17651.30909226885 31799.61029365101),103.7403308328363,1.3038571666756469
22,FARRER COURT,0.0011843912026432938,24862.821752675965,33234.79512299116,POINT (24862.82175267597 33234.79512299116),103.8051294336168,1.316838040156311
23,WOODLANDS REGIONAL CENTRE,0.014644740896760534,22571.20947274392,46698.873522428745,POINT (22571.20947274392 46698.87352242874),103.78453565587142,1.4386019837893724
24,LORONG CHUAN,0.0008612330616748316,31327.76283858814,36732.63168143296,POINT (31327.76283858814 36732.63168143296),103.86322060547117,1.3484712104597012
25,NASSIM,0.002284758004987346,27002.692812642006,32905.57608588826,POINT (27002.69281264201 32905.57608588826),103.82435727605026,1.3138608437605692
26,NATIONAL UNIVERSITY OF S'PORE,0.002512908296105402,21688.92435701273,30930.121367361266,POINT (21688.92435701273 30930.12136736127),103.77661082228913,1.295994904364467
27,HENDERSON HILL,0.003112505367953908,26782.826114537977,29933.76519384831,POINT (26782.82611453798 29933.76519384831),103.82238177983277,1.2869848247088125
28,PEARL'S HILL,0.00218418632391153,28679.063482188954,29782.05196581279,POINT (28679.06348218895 29782.05196581279),103.83942023600794,1.2856127998836226
29,SOMERSET,0.004931140423835757,28626.561106512545,31494.904838077186,POINT (28626.56110651254 31494.90483807719),103.83894851523259,1.3011032402116882
30,ANAK BUKIT,0.005778054203012807,21127.191865165652,35561.88405756135,POINT (21127.19186516565 35561.88405756135),103.77156238243236,1.3378827868689442
31,BEDOK SOUTH,0.006757924285205147,40379.4208438649,33744.22380517173,POINT (40379.4208438649 33744.22380517173),103.9445541236792,1.321442788132853
32,AIRPORT ROAD,0.0004334798291918073,35133.31546127115,37075.3184444804,POINT (35133.31546127115 37075.3184444804),103.89741594209566,1.351569681556326
33,PASIR RIS WEST,0.003916482035015231,39851.40921206318,40140.22376764719,POINT (39851.40921206318 40140.22376764719),103.93981218674162,1.3792860455707274
34,TUAS VIEW,0.0020336830581568384,5753.633738975848,31501.454942549382,POINT (5753.633738975848 31501.45494254938),103.63342528155559,1.3011545128914832
35,PUNGGOL TOWN CENTRE,0.0009412286680714578,35602.37772621485,43427.51105214588,POINT (35602.37772621485 43427.51105214588),103.9016324010345,1.409016481174758
36,LITTLE INDIA,0.0004526555379903869,30307.510265269553,32122.990877797478,POINT (30307.51026526955 32122.99087779748),103.8540526526339,1.3067833494066663
37,BIDADARI,0.0008536183283129173,32632.539491021416,35918.015083539736,POINT (32632.53949102142 35918.01508353974),103.87494471168279,1.3411039360327364
38,RIDOUT,0.0013913636898489525,25568.307760726144,31752.668628782943,POINT (25568.30776072614 31752.66862878294),103.81146870081567,1.3034342759419706
39,MOUNTBATTEN,0.0014773111747554486,34449.70449213887,31557.744610160942,POINT (34449.70449213887 31557.74461016094),103.89127210550798,1.3016708774965864
40,BEDOK RESERVOIR,0.003688083430201881,38351.116697872814,35800.60767872112,POINT (38351.11669787281 35800.60767872112),103.92632946861009,1.3400407247120356
41,SENTOSA,0.0005974974209799319,27593.939398987364,25813.35469226122,POINT (27593.93939898736 25813.35469226122),103.82967001300581,1.2497212942436107
42,GHIM MOH,0.0017940319086122548,22899.189707113168,32579.935350834006,POINT (22899.18970711317 32579.93535083401),103.78748530989176,1.3109154577051674
43,BOON LAY PLACE,0.005672693939372593,14403.778894153533,36444.62750039651,POINT (14403.77889415353 36444.62750039651),103.71114826201617,1.345863707864033
44,HONG KAH,0.010668894724537019,15507.93463697698,36890.28106465117,POINT (15507.93463697698 36890.28106465117),103.7210695750819,1.3498945123423916
45,TANGLIN HALT,0.0033733333742076007,23925.44081984584,31512.7857427768,POINT (23925.44081984584 31512.7857427768),103.79670681516203,1.3012646875304354
46,GOODWOOD PARK,0.0005515811895558751,28108.880722814643,32875.26700631441,POINT (28108.88072281464 32875.26700631441),103.83429692670703,1.3135867551818639
47,PUNGGOL FIELD,0.00431140800604173,36673.89943189138,41847.09028927734,POINT (36673.89943189138 41847.09028927734),103.91126045571849,1.3947234333319314
48,CENTRAL WATER CATCHMENT,0.0014989951048566955,24424.41830239057,39849.045628750864,POINT (24424.41830239057 39849.04562875086),103.80118937190913,1.3766549135530886
49,DAIRY FARM,0.0009044202672474731,21181.12006932678,38939.837529327364,POINT (21181.12006932678 38939.83752932736),103.77204619195622,1.3684317905745342
50,MARYMOUNT,0.0043387096805011655,29287.585346406555,37383.7640446006,POINT (29287.58534640655 37383.7640446006),103.84488836535621,1.354359976825974
51,KEBUN BAHRU,0.0025406274299548167,28700.16740246356,39496.506105167544,POINT (28700.16740246356 39496.50610516754),103.83961008503744,1.3734668818697697
52,MARGARET DRIVE,0.0018041017242769008,25202.761400218726,31065.97316263043,POINT (25202.76140021873 31065.97316263043),103.80818415951701,1.297224013610039
53,ADMIRALTY,0.0019133910013708084,27091.275536248853,48333.800594996406,POINT (27091.27553624885 48333.80059499641),103.82515275811151,1.453388180796796
54,SAMULUN,0.000758433192071615,13418.492209985587,32264.59333432862,POINT (13418.49220998559 32264.59333432862),103.70229686612231,1.3080605953698587
55,KEAT HONG,0.003364169865213726,18333.674082127018,39720.61979007088,POINT (18333.67408212702 39720.61979007088),103.74645966810148,1.3754921030747487
56,CHOA CHU KANG NORTH,0.002088477938755258,18347.56827551308,41593.76489672388,POINT (18347.56827551308 41593.76489672388),103.74658390185523,1.3924321414732015
57,PORT,0.0017378465202191403,21576.076592139707,28788.217285647737,POINT (21576.07659213971 28788.21728564774),103.77559727179094,1.2766242624901543
58,TUKANG,0.0009736707684288012,14192.465474000428,34209.55068525991,POINT (14192.46547400043 34209.55068525991),103.70925049926412,1.3256504169161634
59,LORONG 8 TOA PAYOH,0.002509321497113638,30646.842994452676,35893.11268456182,POINT (30646.84299445268 35893.11268456182),103.85710204255432,1.3408789673955288
60,CHANGI AIRPORT,0.007531876712601343,46661.84904173782,36599.81581775301,POINT (46661.84904173782 36599.81581775301),104.00100662707713,1.3472644498244255
61,ALJUNIED,0.013909277211302685,33592.57597552084,32970.83016549267,POINT (33592.57597552084 32970.83016549267),103.88357067250058,1.3144504863543334
62,ALEXANDRA HILL,0.005676079091656729,25358.82086871003,29991.384227892642,POINT (25358.82086871003 29991.38422789264),103.80958651268992,1.2875058233956922
63,BUKIT BATOK CENTRAL,0.007859697694401478,18773.557893829093,36680.052416310515,POINT (18773.55789382909 36680.05241631051),103.75041327826303,1.3479944662529162
64,NEWTON CIRCUS,0.0024942766109204255,28587.16269589719,32653.94284093081,POINT (28587.16269589719 32653.94284093081),103.83859452442847,1.3115851721534526
65,BUKIT HO SWEE,0.0018274716570745695,27680.06279379669,30230.86100326741,POINT (27680.06279379669 30230.86100326741),103.8304438111068,1.2896716768976293
66,PAYA LEBAR WEST,0.0003749828475747691,36649.31066899246,39403.4873723913,POINT (36649.31066899246 39403.4873723913),103.91103878719413,1.3726243916202157
67,CHINATOWN,0.004551756795005708,29153.967661095852,29158.044396984555,POINT (29153.96766109585 29158.04439698455),103.84368741707814,1.2799694805649364
68,SEMBAWANG EAST,0.0010975605205566085,27788.94031544507,47682.83203291677,POINT (27788.94031544507 47682.83203291677),103.831421995747,1.4475010717897812
69,KIAN TECK,0.0016766419350662824,12929.74519311452,34857.75324752137,POINT (12929.74519311452 34857.75324752137),103.69790398362179,1.3315119166023832
70,LAVENDER,0.005011211180780767,30874.406449106886,32569.526456947464,POINT (30874.40644910689 32569.52645694746),103.85914652451932,1.3108216118420397
71,RIVERVALE,0.0063491788605634135,35977.611393310646,41060.80245736396,POINT (35977.61139331065 41060.80245736396),103.90500354341208,1.387612733957585
72,BOAT QUAY,0.0013205329357677952,29654.959447992474,29974.655356499807,POINT (29654.95944799247 29974.65535649981),103.8481890611057,1.2873546010961991
73,BUKIT BATOK WEST,0.0023808581472059276,17865.88385032783,36623.213408896496,POINT (17865.88385032783 36623.2134088965),103.74225729012912,1.3474801419135118
74,SELETAR HILLS,0.0015744990816829532,31676.96269005011,40603.198908321414,POINT (31676.96269005011 40603.19890832141),103.86635886168928,1.3834751926354982
75,SUNGEI ROAD,0.001206586473529007,30601.34450753796,32003.10285420707,POINT (30601.34450753796 32003.10285420707),103.85669288242146,1.3056991011518744
76,BUKIT BATOK SOUTH,0.0030849578659331955,19631.8730143177,35910.96356974266,POINT (19631.8730143177 35910.96356974266),103.75812597974239,1.341039357941271
77,WOODLANDS SOUTH,0.002782667908044479,23609.573063994983,45692.87859125945,POINT (23609.57306399498 45692.87859125945),103.79386650909318,1.4295043136759762
78,PEOPLE'S PARK,0.003209686044633146,28831.780734615728,29419.64575133986,POINT (28831.78073461573 29419.64575133986),103.84079245203128,1.2823353215867621
79,WOODGROVE,0.0022508792254092597,21905.284951306206,45668.04115376962,POINT (21905.28495130621 45668.04115376962),103.77855190469212,1.4292793767336556
80,LOYANG EAST,0.0006242842234303152,43592.331168355406,38890.09486953484,POINT (43592.33116835541 38890.09486953484),103.97342639768576,1.3679786083764192
81,WESTERN WATER CATCHMENT,0.003982262949638213,12020.342017595922,40454.87109876308,POINT (12020.34201759592 40454.87109876308),103.68972952382144,1.3821296316135885
82,SEMBAWANG HILLS,0.0011189248527254624,27715.92362274355,39634.529022206014,POINT (27715.92362274355 39634.52902220601),103.83076594746696,1.3747151187000992
83,ONE NORTH,0.004355149622410727,23299.243777977365,31176.160569120173,POINT (23299.24377797736 31176.16056912017),103.79108020200717,1.2982202802433367
84,YUNNAN,0.009311710762172794,12593.14125603731,36299.93352123209,POINT (12593.14125603731 36299.93352123209),103.6948786852458,1.3445542759849602
85,INTERNATIONAL BUSINESS PARK,0.0007544661005155876,18514.59951587179,34285.7972453252,POINT (18514.59951587179 34285.7972453252),103.74808712540158,1.326341614966043
86,CLIFFORD PIER,0.001299000253533508,30379.504158819294,29776.433458651285,POINT (30379.50415881929 29776.43345865129),103.85469937400205,1.2855619054207172
87,PANDAN,0.0009822695599879798,19228.603304213026,32265.401001124526,POINT (19228.60330421303 32265.40100112453),103.75450340554816,1.3080700963936915
88,ULU PANDAN,0.0011731050376579016,22210.509339814565,33177.22084015704,POINT (22210.50933981457 33177.22084015704),103.78129707064073,1.3163169728996194
89,TELOK BLANGAH WAY,0.0019720346860360987,26570.517350398142,28871.892241833903,POINT (26570.51735039814 28871.8922418339),103.82047414769734,1.2773816094125283
90,BENDEMEER,0.005677412647128044,31175.957155888656,33827.944566878956,POINT (31175.95715588866 33827.94456687896),103.86185623396615,1.3222022697948959
