node,weekday_in_core,weekday_out_core,weekend_in_core,weekend_out_core,weekday_in_core_lvl,weekday_out_core_lvl,weekend_in_core_lvl,weekend_out_core_lvl
JURONG RIVER,7116,3576,5177,2127,0,0,0,0
JURONG WEST CENTRAL,14278,14023,8195,8377,1,1,1,1
KAKI BUKIT,14278,14023,8195,8377,1,1,1,1
KALLANG BAHRU,14278,14023,8195,8377,1,1,1,1
KALLANG WAY,12215,13524,5418,7360,0,1,0,0
KAMPONG BUGIS,12733,12587,8112,7726,0,0,1,1
KAMPONG GLAM,9575,9088,5760,5683,0,0,0,0
KAMPONG JAVA,14278,14023,8195,7990,1,1,1,1
KAMPONG TIONG BAHRU,14085,13524,8195,7726,1,1,1,1
KAMPONG UBI,14278,14023,8195,8377,1,1,1,1
KANGKAR,14278,14023,8195,8377,1,1,1,1
KATONG,14278,13942,8195,8074,1,1,1,1
KEAT HONG,13515,9559,8112,5679,1,0,1,0
KEBUN BAHRU,14278,12669,8195,7616,1,0,1,0
KEMBANGAN,14278,14023,8195,8377,1,1,1,1
KENT RIDGE,8112,8609,3238,3135,0,0,0,0
KHATIB,14278,14023,8195,8377,1,1,1,1
KIAN TECK,8584,5656,4429,3153,0,0,0,0
KIM KEAT,5993,9863,3447,5902,0,0,0,0
KOVAN,14278,14023,8195,8377,1,1,1,1
KRANJI,9113,7703,6359,4843,0,0,0,0
LAKESIDE,14278,13524,8195,8136,1,1,1,1
LAVENDER,14278,14023,8195,8377,1,1,1,1
LEEDON PARK,12733,13524,7591,7726,0,1,0,1
LEONIE HILL,6902,6052,3804,3326,0,0,0,0
LIM CHU KANG,1506,1858,1391,1340,0,0,0,0
LITTLE INDIA,4702,4396,3223,3239,0,0,0,0
LIU FANG,3492,3576,1815,1743,0,0,0,0
LORONG 8 TOA PAYOH,12776,12195,7591,7019,1,0,0,0
LORONG AH SOO,14278,14023,8195,8377,1,1,1,1
LORONG CHUAN,12461,12195,6850,6634,0,0,0,0
LORONG HALUS,1139,763,649,352,0,0,0,0
LOWER SELETAR,8453,12785,4956,7726,0,0,0,1
LOYANG EAST,4147,5846,1963,3518,0,0,0,0
LOYANG WEST,8281,4851,4212,1925,0,0,0,0
MACKENZIE,7539,8799,5143,5814,0,0,0,0
