ind,node,level_1_weekday,level_1_weekend,weekday_com_ent_in,weekday_com_ent_out,weekend_com_ent_in,weekend_com_ent_out
0,TAMPINES EAST,1,2,0.3539906040072961,0.31131359456017377,0.29463642703785187,0.2945587574592011
1,BEDOK NORTH,1,2,0.2290972607437173,0.17856721140459805,0.3469914656214555,0.2813749267861282
2,TOA PAYOH CENTRAL,1,2,0.5039251545386704,0.46350283003594933,0.5197524360060471,0.49726477473392167
3,ALJUNIED,1,1,0.401774077676622,0.4328898897030864,0.2937794974514497,0.3429986118253506
4,TAMPINES WEST,1,2,0.24963151789203636,0.3020934044214223,0.19928419125389835,0.21533575986550352
5,GEYLANG EAST,1,1,0.3876671663557972,0.3816386174344443,0.4808475296198453,0.4849735242064608
6,PASIR RIS CENTRAL,1,2,0.24233032813241542,0.24269491797386797,0.18975170478640366,0.19645069482901553
7,FRANKEL,1,2,0.22194117232097116,0.25319306512274387,0.35083877910754124,0.3928353688340307
8,KAKI BUKIT,1,2,0.3322114280052279,0.24322167467101868,0.4781965712536492,0.37699826589570407
9,PASIR RIS DRIVE,1,2,0.17176333232544283,0.20781479870405345,0.16403032053045524,0.15300849688802962
10,CHANGI AIRPORT,1,2,0.5137025272196816,0.44929449118283665,0.3830107158712465,0.3710818990344004
11,BEDOK SOUTH,1,2,0.13747551710115696,0.18443947403648028,0.21398911498849607,0.30953280562977026
12,SIMEI,1,2,0.16084785656312742,0.16064985356638473,0.13084025457159912,0.11212494529373526
13,KEMBANGAN,1,2,0.3489647082810937,0.10418434865458269,0.520851297549523,0.22842157892300216
14,KAMPONG UBI,1,1,0.3445481957202255,0.383011077918668,0.46087202368102403,0.5169399364017154
15,MARINE PARADE,1,1,0.2657155093200668,0.35989003750115683,0.36845877949440436,0.3207017622713571
16,PASIR RIS WEST,1,2,0.2880722894588866,0.3046072385813358,0.19704342224789245,0.22392416468665724
17,MACPHERSON,1,1,0.415079858344161,0.3848657871087163,0.38525081784468074,0.3812657560407192
18,BEDOK RESERVOIR,1,2,0.15366469746694592,0.17080064751532772,0.24084639254716853,0.2353746520479665
19,LORONG 8 TOA PAYOH,1,2,0.35808523775883094,0.2961205184353184,0.5525400704645379,0.26817517340685854
20,BOON TECK,1,2,0.365444479339958,0.21339135930506223,0.45570386753228703,0.2729944011145511
21,BRADDELL,1,2,0.1951084757278279,0.4491067225727236,0.2331536733040456,0.5995979237884768
22,KATONG,1,1,0.3010572195407062,0.2715132294183097,0.24889976035665726,0.3753920332320133
23,SENNETT,1,1,0.4842893925581532,0.4277813855801918,0.40189408398989657,0.3564749144445966
24,PEI CHUN,1,2,0.06676866163763054,0.0799652442115047,0.056880110028006574,0.08907090621905915
25,TOA PAYOH WEST,1,2,0.4795740382046823,0.46485460186115823,0.4776281830800862,0.4296451042285439
26,JOO SENG,1,1,0.36512897501429165,0.4602157134654416,0.4613533800336144,0.5222169323507114
27,XILIN,1,2,0.17470061255246927,0.26056074174266647,0.10564691859480636,0.1905503266434599
28,POTONG PASIR,1,1,0.5927193171063182,0.4616611647639471,0.5018024847409924,0.5267582387410008
29,DEFU INDUSTRIAL PARK,1,5,0.31479174068732413,0.33382198387648393,0.5388523526694027,0.43694046395874225
30,KALLANG WAY,1,1,0.3291052897286528,0.4612927061222623,0.2912544614070329,0.3386924333094513
31,FLORA DRIVE,1,2,0.08491688713550713,0.03163608494917971,0.11778442331630216,0.04955511343824567
32,PASIR RIS PARK,1,2,0.21686286553682224,0.014725544856971745,0.05028905474424783,0.03377481775691291
33,MOUNTBATTEN,1,1,0.29033322096412256,0.3600294024133449,0.16840657555394228,0.22805773269690094
34,TAMPINES NORTH,1,2,0.5938899995703307,0.05807277789026881,0.3505795571790346,0.07780217377975729
35,CHANGI WEST,1,2,0.07311608239741135,0.10440832057660883,0.044079875016284936,0.11440837577621411
36,LOYANG WEST,1,2,0.23431883009293805,0.012916380754242597,0.12914668162027296,0.02330812869830119
37,PAYA LEBAR NORTH,1,2,0.16839037973107554,0.5697698515917569,0.20445925298364861,0.36944490310424116
38,TANJONG RHU,1,1,0.3226797808765436,0.3899970611585004,0.32483015597350823,0.23350302173491255
39,WOODLEIGH,1,1,0.21263124859070048,0.362933992279252,0.10822430858148886,0.5205461820885497
40,BIDADARI,1,1,0.45504011351636675,0.3815104562997533,0.6213798510399992,0.26689637084283496
