ind,node,lvl_dc_spreader,lvl_hh,lvl_pr_spreader,lvl_dc_receiver,lvl_ha,lvl_pr_receiver
131,LITTLE INDIA,3,3,3,3,3,3
132,SENTOSA,3,3,3,3,3,3
133,OXLEY,3,3,3,3,3,3
134,MAXWELL,3,3,3,3,3,3
135,TANGLIN,3,3,3,3,3,3
136,ORANGE GROVE,3,3,3,3,3,3
137,PHILLIP,3,3,3,3,3,3
138,MARINA SOUTH,3,3,3,3,3,3
139,MONK'S HILL,3,3,3,3,3,3
140,STRAITS VIEW,3,3,3,3,3,3
141,ISTANA NEGARA,3,3,3,3,3,3
142,SENGKANG TOWN CENTRE,2,1,2,2,2,2
143,SERANGOON CENTRAL,2,2,2,2,3,2
144,ANG MO KIO TOWN CENTRE,2,3,2,2,3,3
145,HOUGANG CENTRAL,3,3,3,3,3,3
146,BISHAN EAST,2,3,2,3,3,3
147,RIVERVALE,3,3,3,2,1,2
148,HOUGANG WEST,3,3,3,3,3,3
149,TRAFALGAR,3,3,3,3,3,3
150,CHONG BOON,3,3,3,3,3,3
151,LORONG AH SOO,3,3,3,3,3,3
152,UPPER THOMSON,2,3,2,2,3,2
153,CHENG SAN,2,3,3,3,3,3
154,SERANGOON GARDEN,3,3,3,3,3,3
155,YIO CHU KANG,2,3,2,3,3,3
156,MARYMOUNT,3,3,3,3,3,3
157,ANCHORVALE,3,3,3,3,3,3
158,SERANGOON NORTH,3,3,3,3,3,3
159,FERNVALE,3,3,3,3,3,3
160,KANGKAR,3,2,3,3,3,3
161,KOVAN,3,3,3,3,3,3
162,SHANGRI-LA,3,3,3,3,3,3
163,HOUGANG EAST,3,3,3,3,3,3
164,COMPASSVALE,3,3,3,3,3,3
165,UPPER PAYA LEBAR,3,3,3,3,3,3
166,TAI SENG,3,3,3,3,3,3
167,KEBUN BAHRU,3,3,3,3,3,3
168,TOWNSVILLE,2,3,3,3,3,3
169,YIO CHU KANG WEST,3,3,3,3,3,3
170,SELETAR HILLS,3,3,3,3,3,3
171,YIO CHU KANG EAST,3,3,3,3,3,3
172,TAGORE,3,3,3,3,3,3
173,CENTRAL WATER CATCHMENT,3,3,3,3,3,3
174,SERANGOON NORTH IND ESTATE,3,3,3,3,3,3
175,SEMBAWANG HILLS,3,3,3,3,3,3
176,LORONG CHUAN,3,3,3,3,3,3
177,YIO CHU KANG NORTH,3,3,3,3,3,3
178,NEE SOON,3,3,3,3,3,3
179,SENGKANG WEST,3,3,3,3,3,3
180,JURONG GATEWAY,1,3,1,2,3,1
181,CLEMENTI CENTRAL,2,3,2,2,3,2
182,JELEBU,1,3,1,1,3,1
183,BUKIT BATOK CENTRAL,2,3,2,2,3,2
184,CLEMENTI NORTH,3,3,3,3,3,2
185,ANAK BUKIT,2,3,2,2,3,2
186,YUHUA WEST,3,3,3,3,3,3
187,YUHUA EAST,3,3,3,3,3,3
188,ONE NORTH,3,3,2,3,3,2
189,TEBAN GARDENS,3,3,3,3,3,3
190,BANGKIT,3,3,3,2,3,2
191,SENJA,3,3,3,3,3,3
192,CLEMENTI WOODS,3,3,3,3,3,3
193,TOH GUAN,3,3,3,3,3,3
194,HOLLAND ROAD,3,3,3,3,3,3
195,BUKIT BATOK SOUTH,3,3,3,3,3,3
196,CLEMENTI WEST,3,3,3,3,3,3
197,JOO KOON,2,3,2,3,3,2
198,DOVER,3,3,3,3,3,3
199,HONG KAH NORTH,3,3,3,3,3,3
200,GUILIN,3,3,3,3,3,3
201,BRICKWORKS,3,3,3,3,3,3
202,BUKIT BATOK WEST,3,3,3,3,3,3
203,TOH TUCK,3,3,3,3,3,3
204,HILLVIEW,3,3,3,3,3,3
205,SWISS CLUB,3,3,2,3,3,3
206,BUKIT BATOK EAST,3,3,3,3,3,3
207,PASIR PANJANG 1,3,3,3,3,3,3
208,NATIONAL UNIVERSITY OF S'PORE,3,3,3,3,3,3
209,FAJAR,3,3,3,3,3,3
210,LAKESIDE,3,3,3,3,3,3
211,SINGAPORE POLYTECHNIC,3,3,3,3,3,3
212,SAUJANA,3,3,3,3,3,3
213,GOMBAK,2,3,3,3,3,3
214,GHIM MOH,3,3,3,3,3,3
215,CORONATION ROAD,3,3,3,3,3,3
216,HILLCREST,3,3,3,3,3,3
217,FABER,3,3,3,3,3,3
218,DAIRY FARM,3,3,3,3,3,3
219,NATURE RESERVE,3,3,3,3,3,3
220,PORT,3,3,3,3,3,3
221,ULU PANDAN,3,3,3,3,3,3
222,WEST COAST,3,3,3,3,3,3
223,JURONG RIVER,3,3,3,3,3,3
224,PENJURU CRESCENT,3,3,3,3,3,3
225,KENT RIDGE,3,3,3,3,3,3
226,PANDAN,3,3,3,3,3,3
227,SUNSET WAY,3,3,3,3,3,3
228,GUL CIRCLE,3,3,3,3,3,3
229,INTERNATIONAL BUSINESS PARK,3,3,3,3,3,3
230,TENGAH,3,3,3,3,3,3
231,GUL BASIN,3,3,3,3,3,3
232,BENOI SECTOR,3,3,3,3,3,3
233,PIONEER SECTOR,3,3,3,3,3,3
234,MANDAI WEST,3,3,3,3,3,3
235,WOODLANDS REGIONAL CENTRE,1,1,1,1,1,1
236,WOODLANDS EAST,2,2,2,2,1,2
237,NORTH COAST,3,2,3,3,2,3
238,WOODLANDS WEST,3,3,3,2,2,2
239,SEMBAWANG CENTRAL,2,2,2,2,3,2
240,MIDVIEW,3,3,3,3,3,3
241,WOODLANDS SOUTH,3,2,3,3,3,3
242,SEMBAWANG NORTH,3,3,3,3,3,3
243,TURF CLUB,3,3,3,3,3,3
244,WOODGROVE,2,2,3,3,2,3
245,ADMIRALTY,3,3,3,3,3,3
246,GALI BATU,3,3,2,3,3,3
247,SENOKO SOUTH,3,3,3,3,3,3
248,SENOKO NORTH,3,3,3,3,3,3
249,KRANJI,3,3,3,3,3,3
250,SENOKO WEST,3,3,3,3,3,3
251,SEMBAWANG SPRINGS,3,3,3,3,3,3
252,SEMBAWANG EAST,3,3,3,3,3,3
253,GREENWOOD PARK,3,3,3,3,3,3
254,MANDAI EAST,3,3,3,3,3,3
255,RESERVOIR VIEW,3,3,3,3,3,3
256,PANG SUA,3,3,3,3,3,3
257,SEMBAWANG STRAITS,3,3,3,3,3,3
258,THE WHARVES,3,3,3,3,3,3
259,JURONG WEST CENTRAL,1,1,1,1,2,1
260,HONG KAH,2,3,2,2,3,2
261,YUNNAN,2,2,2,3,3,3
262,TAMAN JURONG,2,3,2,3,3,3
263,BOON LAY PLACE,3,3,3,3,3,3
264,WESTERN WATER CATCHMENT,2,3,2,3,3,3
265,WENYA,3,3,3,3,3,3
266,KIAN TECK,3,3,3,3,3,3
267,CHIN BEE,3,3,3,3,3,3
268,LIU FANG,3,3,3,3,3,3
269,TUKANG,3,3,3,3,3,3
270,JURONG PORT,3,3,3,3,3,3
271,SAMULUN,3,3,3,3,3,3
272,SHIPYARD,3,3,3,3,3,3
273,SAFTI,3,3,3,3,3,3
274,YISHUN CENTRAL,1,1,1,1,1,1
275,YISHUN WEST,1,1,1,1,1,1
276,KHATIB,3,3,2,1,1,1
277,YISHUN EAST,3,3,3,3,3,3
278,YISHUN SOUTH,1,1,2,3,3,3
279,NORTHLAND,3,3,3,2,2,2
280,LOWER SELETAR,3,3,3,3,3,3
281,SPRINGLEAF,3,3,3,3,3,3
282,MANDAI ESTATE,3,3,3,3,3,3
283,CHOA CHU KANG CENTRAL,1,3,1,1,3,1
284,TECK WHYE,2,3,2,3,3,3
285,KEAT HONG,2,3,2,2,3,3
286,PENG SIANG,2,3,2,3,3,3
287,CHOA CHU KANG NORTH,2,3,3,3,3,3
288,YEW TEE,3,3,3,3,3,3
289,LIM CHU KANG,3,3,3,3,3,3
290,MATILDA,2,1,2,2,1,2
291,PUNGGOL FIELD,3,1,3,2,2,2
292,WATERWAY EAST,3,3,3,3,3,3
293,SELETAR,3,2,3,3,2,3
294,PUNGGOL TOWN CENTRE,3,3,3,3,3,3
295,SELETAR AEROSPACE PARK,3,3,3,3,3,3
296,NORTHSHORE,3,3,3,3,3,3
297,TUAS BAY,3,3,3,3,3,3
298,TUAS VIEW,3,3,3,3,3,3
299,TUAS PROMENADE,3,3,3,3,3,3
300,TUAS NORTH,3,3,3,3,3,3
301,TUAS VIEW EXTENSION,3,3,3,3,3,3
302,TENGEH,3,3,3,3,3,3
