ind,clusters,flow,node,ori_index,level_1,level_2
0,1:1,0.019338900000000003,BEDOK NORTH,16,1,1_1
1,1:2,0.0169522,SENGKANG TOWN CENTRE,33,1,1_2
2,1:3,0.013134100000000001,TOA PAYOH CENTRAL,68,1,1_3
3,1:4,0.0125442,RIVERVALE,32,1,1_4
4,1:5,0.0121315,ALJUNIED,21,1,1_5
5,1:6,0.0108039,MATILDA,99,1,1_6
6,1:7,0.00965113,GEYLANG EAST,10,1,1_7
7,1:8,0.00843657,PUNGGOL FIELD,29,1,1_8
8,1:9,0.00841409,KAKI BUKIT,25,1,1_9
9,1:10,0.00830128,FRANKEL,121,1,1_10
10,1:11,0.00661509,BEDOK SOUTH,123,1,1_11
11,1:12,0.0063839,KEMBANGAN,91,1,1_12
12,1:13,0.00634003,ANCHORVALE,208,1,1_13
13,1:14,0.00628486,MARITIME SQUARE,38,1,1_14
14,1:15,0.00615838,BALESTIER,108,1,1_15
15,1:16,0.00595039,TIONG BAHRU STATION,126,1,1_16
16,1:17,0.00572431,BOULEVARD,79,1,1_17
17,1:18,0.00570898,FERNVALE,3,1,1_18
18,1:19,0.00550872,BENDEMEER,173,1,1_19
19,1:20,0.00514087,BEDOK RESERVOIR,74,1,1_20
20,1:21,0.00489398,MARINE PARADE,50,1,1_21
21,1:22,0.00446242,WATERWAY EAST,172,1,1_22
22,1:23,0.00440337,MACPHERSON,20,1,1_23
23,1:24,0.00427532,LAVENDER,82,1,1_24
24,1:25,0.00427411,KAMPONG UBI,56,1,1_25
25,1:26,0.0041552,FARRER PARK,188,1,1_26
26,1:27,0.00387138,ALEXANDRA HILL,106,1,1_27
27,1:28,0.00354284,DHOBY GHAUT,233,1,1_28
28,1:29,0.00346008,SOMERSET,76,1,1_29
29,1:30,0.00345852,MOULMEIN,128,1,1_30
30,1:31,0.00336091,CHINATOWN,5,1,1_31
31,1:32,0.00309652,BOON TECK,122,1,1_32
32,1:33,0.00305006,REDHILL,84,1,1_33
33,1:34,0.00304187,BOON KENG,197,1,1_34
34,1:35,0.00301333,BUGIS,95,1,1_35
35,1:36,0.00286022,MEI CHIN,169,1,1_36
36,1:37,0.00284641,LORONG 8 TOA PAYOH,57,1,1_37
37,1:38,0.00281712,HENDERSON HILL,125,1,1_38
38,1:39,0.00280906,CITY HALL,206,1,1_39
39,1:40,0.0026319000000000004,GEYLANG BAHRU,133,1,1_40
40,1:41,0.00261929,VICTORIA,185,1,1_41
