ind,clusters,flow,node,ori_index,level_1,level_2
0,1:1,0.0246099,TAMPINES EAST,40,1,1_1
1,1:2,0.0188708,BEDOK NORTH,16,1,1_2
2,1:3,0.015756299999999997,FRANKEL,121,1,1_3
3,1:4,0.015725899999999998,CHANGI AIRPORT,41,1,1_4
4,1:5,0.013921700000000002,BEDOK SOUTH,123,1,1_5
5,1:6,0.013468299999999999,ALJUNIED,21,1,1_6
6,1:7,0.010890200000000001,GEYLANG EAST,10,1,1_7
7,1:8,0.00883904,KAKI BUKIT,25,1,1_8
8,1:9,0.00758106,PASIR RIS CENTRAL,24,1,1_9
9,1:10,0.00755728,TAMPINES WEST,78,1,1_10
10,1:11,0.00749194,KAMPONG UBI,56,1,1_11
11,1:12,0.00715738,SIMEI,28,1,1_12
12,1:13,0.00662836,KEMBANGAN,91,1,1_13
13,1:14,0.00616917,MARINE PARADE,50,1,1_14
14,1:15,0.00606377,PASIR RIS DRIVE,30,1,1_15
15,1:16,0.0049258999999999995,BENDEMEER,173,1,1_16
16,1:17,0.00428481,BEDOK RESERVOIR,74,1,1_17
17,1:18,0.00392207,MACPHERSON,20,1,1_18
18,1:19,0.00385572,CHANGI WEST,168,1,1_19
19,1:20,0.00375926,KATONG,159,1,1_20
20,1:21,0.00368336,KALLANG BAHRU,166,1,1_21
21,1:22,0.0036396,JOO SENG,175,1,1_22
22,1:23,0.00345898,LAVENDER,82,1,1_23
23,1:24,0.00328655,BUGIS,95,1,1_24
24,1:25,0.00311345,BOON KENG,197,1,1_25
25,1:26,0.00303773,XILIN,238,1,1_26
26,1:27,0.0029671,DEFU INDUSTRIAL PARK,9,1,1_27
27,1:28,0.00250373,LOYANG WEST,129,1,1_28
28,1:29,0.00231894,PASIR RIS WEST,127,1,1_29
29,1:30,0.00229064,SIGLAP,198,1,1_30
30,1:31,0.00224227,KALLANG WAY,161,1,1_31
31,1:32,0.00210324,CRAWFORD,92,1,1_32
32,1:33,0.00201827,FLORA DRIVE,27,1,1_33
33,1:34,0.00193082,GEYLANG BAHRU,133,1,1_34
34,1:35,0.00187183,MOUNTBATTEN,107,1,1_35
35,1:36,0.00186018,AIRPORT ROAD,303,1,1_36
36,1:37,0.00142488,BIDADARI,62,1,1_37
37,1:38,0.00134359,TAMPINES NORTH,255,1,1_38
38,1:39,0.00120952,TANJONG RHU,54,1,1_39
39,1:40,0.00118747,CHANGI POINT,234,1,1_40
40,1:41,0.0011614000000000001,ROCHOR CANAL,88,1,1_41
41,1:42,0.00113615,BAYSHORE,98,1,1_42
42,1:43,0.00112791,KAMPONG BUGIS,140,1,1_43
43,1:44,0.00107782,PASIR RIS PARK,151,1,1_44
44,1:45,0.00105473,PAYA LEBAR NORTH,139,1,1_45
45,1:46,0.0008550389999999999,BENCOOLEN,223,1,1_46
46,1:47,0.000838777,LOYANG EAST,182,1,1_47
47,1:48,0.000812781,SUNGEI ROAD,153,1,1_48
48,1:49,0.000708127,KAMPONG GLAM,178,1,1_49
49,1:50,0.000559212,PASIR RIS WAFER FAB PARK,119,1,1_50
50,1:51,0.00043881199999999996,PLAB,293,1,1_51
51,1:52,0.000297513,PAYA LEBAR EAST,287,1,1_52
52,1:53,7.549770000000001e-05,ISTANA NEGARA,281,1,1_53
53,2:1,0.0145202,CLEMENTI CENTRAL,37,2,2_1
54,2:2,0.0126988,JURONG GATEWAY,89,2,2_2
55,2:3,0.00937155,DOVER,227,2,2_3
56,2:4,0.00919244,HONG KAH,43,2,2_4
57,2:5,0.00804168,TAMAN JURONG,8,2,2_5
58,2:6,0.00790567,JELEBU,48,2,2_6
59,2:7,0.0072047,CLEMENTI NORTH,163,2,2_7
60,2:8,0.00671376,BUKIT BATOK CENTRAL,58,2,2_8
61,2:9,0.006311,ONE NORTH,112,2,2_9
62,2:10,0.00584415,CLEMENTI WOODS,15,2,2_10
63,2:11,0.00543788,TEBAN GARDENS,13,2,2_11
64,2:12,0.00527791,SINGAPORE POLYTECHNIC,105,2,2_12
