ind,clusters,flow,node,ori_index,level_1,level_2
213,4:34,0.00200203,GOMBAK,100,4,4_34
214,4:35,0.00173078,GHIM MOH,101,4,4_35
215,4:36,0.00148858,CORONATION ROAD,115,4,4_36
216,4:37,0.0010703,HILLCREST,90,4,4_37
217,4:38,0.0010572000000000001,FABER,246,4,4_38
218,4:39,0.00104658,DAIRY FARM,149,4,4_39
219,4:40,0.00100226,NATURE RESERVE,124,4,4_40
220,4:41,0.000990065,PORT,6,4,4_41
221,4:42,0.000989922,ULU PANDAN,242,4,4_42
222,4:43,0.0008735310000000001,WEST COAST,14,4,4_43
223,4:44,0.000767465,JURONG RIVER,39,4,4_44
224,4:45,0.0007597289999999999,PENJURU CRESCENT,285,4,4_45
225,4:46,0.000735109,KENT RIDGE,232,4,4_46
226,4:47,0.000726399,PANDAN,292,4,4_47
227,4:48,0.000623643,SUNSET WAY,72,4,4_48
228,4:49,0.000610182,GUL CIRCLE,279,4,4_49
229,4:50,0.000591128,INTERNATIONAL BUSINESS PARK,237,4,4_50
230,4:51,0.000536295,TENGAH,271,4,4_51
231,4:52,0.000444149,GUL BASIN,296,4,4_52
232,4:53,0.000417536,BENOI SECTOR,251,4,4_53
233,4:54,0.00018407099999999998,PIONEER SECTOR,276,4,4_54
234,4:55,0.000102755,MANDAI WEST,297,4,4_55
235,5:1,0.0186973,WOODLANDS REGIONAL CENTRE,77,5,5_1
236,5:2,0.00884028,WOODLANDS EAST,85,5,5_2
237,5:3,0.00812773,NORTH COAST,36,5,5_3
238,5:4,0.00784373,WOODLANDS WEST,157,5,5_4
239,5:5,0.00689158,SEMBAWANG CENTRAL,86,5,5_5
240,5:6,0.00466746,MIDVIEW,18,5,5_6
241,5:7,0.00381899,WOODLANDS SOUTH,19,5,5_7
242,5:8,0.00358418,SEMBAWANG NORTH,211,5,5_8
243,5:9,0.00310744,TURF CLUB,179,5,5_9
244,5:10,0.00242967,WOODGROVE,116,5,5_10
245,5:11,0.00198395,ADMIRALTY,193,5,5_11
246,5:12,0.00191108,GALI BATU,221,5,5_12
247,5:13,0.00182692,SENOKO SOUTH,190,5,5_13
248,5:14,0.00158841,SENOKO NORTH,1,5,5_14
249,5:15,0.00142464,KRANJI,207,5,5_15
250,5:16,0.00138144,SENOKO WEST,114,5,5_16
251,5:17,0.00135915,SEMBAWANG SPRINGS,249,5,5_17
252,5:18,0.00130276,SEMBAWANG EAST,165,5,5_18
253,5:19,0.00096562,GREENWOOD PARK,282,5,5_19
254,5:20,0.000625098,MANDAI EAST,263,5,5_20
255,5:21,0.000387404,RESERVOIR VIEW,222,5,5_21
256,5:22,0.00020788599999999998,PANG SUA,291,5,5_22
257,5:23,0.000195942,SEMBAWANG STRAITS,189,5,5_23
258,5:24,0.00016748,THE WHARVES,258,5,5_24
259,6:1,0.021396000000000002,JURONG WEST CENTRAL,65,6,6_1
260,6:2,0.0102757,HONG KAH,43,6,6_2
261,6:3,0.009531999999999999,YUNNAN,11,6,6_3
262,6:4,0.00670062,TAMAN JURONG,8,6,6_4
263,6:5,0.00603975,BOON LAY PLACE,134,6,6_5
264,6:6,0.0044747,WESTERN WATER CATCHMENT,47,6,6_6
265,6:7,0.00183899,WENYA,269,6,6_7
266,6:8,0.0014823,KIAN TECK,152,6,6_8
267,6:9,0.00117236,CHIN BEE,277,6,6_9
268,6:10,0.000805973,LIU FANG,214,6,6_10
269,6:11,0.0007991360000000001,TUKANG,12,6,6_11
270,6:12,0.000715878,JURONG PORT,274,6,6_12
271,6:13,0.00048641699999999995,SAMULUN,259,6,6_13
272,6:14,0.00025138,SHIPYARD,267,6,6_14
273,6:15,7.49606e-05,SAFTI,290,6,6_15
274,7:1,0.0138376,YISHUN CENTRAL,2,7,7_1
275,7:2,0.010129299999999999,YISHUN WEST,137,7,7_2
276,7:3,0.00762855,KHATIB,120,7,7_3
277,7:4,0.00673078,YISHUN EAST,187,7,7_4
278,7:5,0.00542762,YISHUN SOUTH,45,7,7_5
279,7:6,0.00466565,NORTHLAND,191,7,7_6
280,7:7,0.00167712,LOWER SELETAR,260,7,7_7
281,7:8,0.000594454,SPRINGLEAF,130,7,7_8
282,7:9,0.000185112,MANDAI ESTATE,44,7,7_9
283,8:1,0.010144499999999999,CHOA CHU KANG CENTRAL,141,8,8_1
284,8:2,0.00420813,TECK WHYE,66,8,8_2
285,8:3,0.00400595,KEAT HONG,158,8,8_3
286,8:4,0.00397006,PENG SIANG,180,8,8_4
287,8:5,0.00283342,CHOA CHU KANG NORTH,148,8,8_5
288,8:6,0.00247316,YEW TEE,147,8,8_6
289,8:7,0.00010054700000000001,LIM CHU KANG,245,8,8_7
290,9:1,0.00719017,MATILDA,99,9,9_1
291,9:2,0.00580441,PUNGGOL FIELD,29,9,9_2
292,9:3,0.00251411,WATERWAY EAST,172,9,9_3
293,9:4,0.00132541,SELETAR,230,9,9_4
294,9:5,0.00102237,PUNGGOL TOWN CENTRE,210,9,9_5
295,9:6,0.00044158,SELETAR AEROSPACE PARK,229,9,9_6
296,9:7,0.000112791,NORTHSHORE,262,9,9_7
297,10:1,0.00116541,TUAS BAY,294,10,10_1
298,10:2,0.00106366,TUAS VIEW,254,10,10_2
299,10:3,0.0007528169999999999,TUAS PROMENADE,253,10,10_3
300,10:4,0.000587436,TUAS NORTH,280,10,10_4
301,10:5,0.000548517,TUAS VIEW EXTENSION,299,10,10_5
302,10:6,4.70242e-05,TENGEH,301,10,10_6
