ind,clusters,flow,node,ori_index,level_1,level_2
0,1:1,0.020606799999999998,TAMPINES EAST,40,1,1_1
1,1:2,0.0156573,SENGKANG TOWN CENTRE,33,1,1_2
2,1:3,0.013528100000000001,RIVERVALE,32,1,1_3
3,1:4,0.012988,TAMPINES WEST,78,1,1_4
4,1:5,0.011451399999999999,TOA PAYOH CENTRAL,68,1,1_5
5,1:6,0.010648399999999999,HOUGANG WEST,166,1,1_6
6,1:7,0.0104254,PASIR RIS DRIVE,30,1,1_7
7,1:8,0.0102363,TRAFALGAR,4,1,1_8
8,1:9,0.010184200000000001,MATILDA,99,1,1_9
9,1:10,0.00976951,PASIR RIS CENTRAL,24,1,1_10
10,1:11,0.00952991,HOUGANG CENTRAL,81,1,1_11
11,1:12,0.0091413,SERANGOON CENTRAL,69,1,1_12
12,1:13,0.00866185,PUNGGOL FIELD,29,1,1_13
13,1:14,0.00734126,ANCHORVALE,207,1,1_14
14,1:15,0.00728035,CHANGI AIRPORT,41,1,1_15
15,1:16,0.00718214,PASIR RIS WEST,127,1,1_16
16,1:17,0.006525,FERNVALE,3,1,1_17
17,1:18,0.00650484,LORONG AH SOO,83,1,1_18
18,1:19,0.00554344,KANGKAR,131,1,1_19
19,1:20,0.00553676,SERANGOON GARDEN,80,1,1_20
20,1:21,0.00523913,HOUGANG EAST,31,1,1_21
21,1:22,0.00477603,WATERWAY EAST,171,1,1_22
22,1:23,0.00473369,SERANGOON NORTH,93,1,1_23
23,1:24,0.00423457,SIMEI,28,1,1_24
24,1:25,0.00373493,KOVAN,26,1,1_25
25,1:26,0.00358808,COMPASSVALE,150,1,1_26
26,1:27,0.00321715,BOON TECK,122,1,1_27
27,1:28,0.00311679,LORONG 8 TOA PAYOH,57,1,1_28
28,1:29,0.00269401,PEI CHUN,67,1,1_29
29,1:30,0.00252627,TAI SENG,195,1,1_30
30,1:31,0.00245859,BRADDELL,185,1,1_31
31,1:32,0.00243722,UPPER PAYA LEBAR,200,1,1_32
32,1:33,0.00232791,FLORA DRIVE,27,1,1_33
33,1:34,0.00216375,TAMPINES NORTH,253,1,1_34
34,1:35,0.00215329,TOA PAYOH WEST,94,1,1_35
35,1:36,0.00206359,PASIR RIS PARK,151,1,1_36
36,1:37,0.00200181,JOO SENG,174,1,1_37
37,1:38,0.00196444,POTONG PASIR,239,1,1_38
38,1:39,0.00160206,DEFU INDUSTRIAL PARK,9,1,1_39
39,1:40,0.00157794,SELETAR,226,1,1_40
40,1:41,0.00154119,PUNGGOL TOWN CENTRE,209,1,1_41
41,1:42,0.00151922,SELETAR HILLS,215,1,1_42
42,1:43,0.00141125,PAYA LEBAR NORTH,139,1,1_43
43,1:44,0.0011216,KIM KEAT,198,1,1_44
44,1:45,0.00108346,CHANGI POINT,231,1,1_45
45,1:46,0.0009345460000000001,PASIR RIS WAFER FAB PARK,119,1,1_46
46,1:47,0.000864113,WOODLEIGH,243,1,1_47
47,1:48,0.000813116,XILIN,235,1,1_48
48,1:49,0.000732433,LORONG CHUAN,162,1,1_49
49,1:50,0.000708381,BIDADARI,62,1,1_50
50,1:51,0.0006465409999999999,YIO CHU KANG EAST,254,1,1_51
51,1:52,0.000625286,CHANGI WEST,167,1,1_52
52,1:53,0.00059739,LOYANG WEST,129,1,1_53
53,1:54,0.00035487800000000004,LOYANG EAST,181,1,1_54
54,1:55,0.00022955,PAYA LEBAR EAST,289,1,1_55
55,1:56,0.000216115,SENGKANG WEST,247,1,1_56
56,1:57,0.000146045,NORTHSHORE,261,1,1_57
57,1:58,7.15058e-05,LORONG HALUS,294,1,1_58
58,1:59,5.3371e-05,PAYA LEBAR WEST,265,1,1_59
59,1:60,4.4735100000000005e-05,PLAB,257,1,1_60
60,2:1,0.00681178,BALESTIER,108,2,2_1
61,2:2,0.00529366,TIONG BAHRU STATION,126,2,2_2
62,2:3,0.00527182,BENDEMEER,172,2,2_3
63,2:4,0.004698600000000001,MARITIME SQUARE,38,2,2_4
64,2:5,0.00380682,LAVENDER,82,2,2_5
65,2:6,0.00362624,ALEXANDRA HILL,106,2,2_6
66,2:7,0.00318694,BOULEVARD,79,2,2_7
67,2:8,0.00304971,FARRER PARK,187,2,2_8
68,2:9,0.00292087,MEI CHIN,168,2,2_9
69,2:10,0.00288447,HENDERSON HILL,125,2,2_10
70,2:11,0.00282283,TELOK BLANGAH RISE,146,2,2_11
71,2:12,0.00267203,BOON KENG,196,2,2_12
72,2:13,0.00258395,TELOK BLANGAH DRIVE,142,2,2_13
73,2:14,0.00257243,GEYLANG BAHRU,133,2,2_14
74,2:15,0.00257149,MOULMEIN,128,2,2_15
75,2:16,0.00253758,REDHILL,84,2,2_16
76,2:17,0.00218667,TANGLIN HALT,194,2,2_17
77,2:18,0.00206102,BUKIT MERAH,193,2,2_18
78,2:19,0.00204834,KAMPONG TIONG BAHRU,199,2,2_19
79,2:20,0.0019779,CRAWFORD,92,2,2_20
80,2:21,0.00196851,BUGIS,95,2,2_21
81,2:22,0.00194571,DHOBY GHAUT,229,2,2_22
82,2:23,0.00188718,SENNETT,136,2,2_23
83,2:24,0.00188126,TELOK BLANGAH WAY,53,2,2_24
84,2:25,0.00187788,COMMONWEALTH,170,2,2_25
85,2:26,0.0018605999999999998,CHINATOWN,5,2,2_26
86,2:27,0.00182736,KALLANG BAHRU,165,2,2_27
87,2:28,0.0018147999999999999,SOMERSET,76,2,2_28
88,2:29,0.00172916,HOLLAND DRIVE,102,2,2_29
89,2:30,0.00168739,PEOPLE'S PARK,176,2,2_30
90,2:31,0.00155792,CITY HALL,205,2,2_31
91,2:32,0.00154955,GHIM MOH,101,2,2_32
92,2:33,0.00151673,SINGAPORE GENERAL HOSPITAL,145,2,2_33
93,2:34,0.00147313,TIONG BAHRU,97,2,2_34
94,2:35,0.0014158,MARGARET DRIVE,52,2,2_35
95,2:36,0.00137325,NEWTON CIRCUS,204,2,2_36
96,2:37,0.00136494,KAMPONG JAVA,64,2,2_37
97,2:38,0.00135552,VICTORIA,184,2,2_38
98,2:39,0.00134698,BUKIT HO SWEE,138,2,2_39
99,2:40,0.00127945,EVERTON PARK,173,2,2_40
100,2:41,0.00118401,BRAS BASAH,211,2,2_41
101,2:42,0.00117201,MALCOLM,175,2,2_42
102,2:43,0.00107398,SUNGEI ROAD,153,2,2_43
103,2:44,0.00102508,PEARL'S HILL,17,2,2_44
104,2:45,0.00101673,KAMPONG BUGIS,140,2,2_45
105,2:46,0.000999509,CHATSWORTH,244,2,2_46
106,2:47,0.00096159,CLARKE QUAY,154,2,2_47
107,2:48,0.000893527,DEPOT ROAD,245,2,2_48
108,2:49,0.000862532,NASSIM,111,2,2_49
109,2:50,0.0007867439999999999,MARINA CENTRE,49,2,2_50
110,2:51,0.000724747,LEEDON PARK,269,2,2_51
111,2:52,0.00068416,TYERSALL,223,2,2_52
112,2:53,0.000671055,ROBERTSON QUAY,221,2,2_53
113,2:54,0.0006682169999999999,FARRER COURT,273,2,2_54
114,2:55,0.000627539,CHINA SQUARE,87,2,2_55
115,2:56,0.000612261,BENCOOLEN,220,2,2_56
116,2:57,0.000585188,QUEENSWAY,182,2,2_57
117,2:58,0.00057762,DUNEARN,219,2,2_58
118,2:59,0.000531315,BAYFRONT SUBZONE,283,2,2_59
119,2:60,0.0005312580000000001,BOAT QUAY,227,2,2_60
120,2:61,0.00041250300000000004,MACKENZIE,169,2,2_61
121,2:62,0.000399846,CITY TERMINALS,232,2,2_62
122,2:63,0.000397546,CENTRAL SUBZONE,109,2,2_63
123,2:64,0.000379339,PASIR PANJANG 2,59,2,2_64
124,2:65,0.000352096,ROCHOR CANAL,88,2,2_65
125,2:66,0.000345821,KAMPONG GLAM,177,2,2_66
126,2:67,0.00034136699999999997,SELEGIE,135,2,2_67
127,2:68,0.00033007,RIDOUT,230,2,2_68
128,2:69,0.000312827,FORT CANNING,260,2,2_69
129,2:70,0.00030993599999999997,ONE TREE HILL,155,2,2_70
130,2:71,0.000248845,INSTITUTION HILL,288,2,2_71
131,2:72,0.000235666,PATERSON,284,2,2_72
132,2:73,0.000232193,ANSON,234,2,2_73
133,2:74,0.000209134,LITTLE INDIA,202,2,2_74
134,2:75,0.000201472,CECIL,216,2,2_75
135,2:76,0.000198802,LEONIE HILL,23,2,2_76
136,2:77,0.00018237,ALEXANDRA NORTH,249,2,2_77
137,2:78,0.00017805400000000003,CLIFFORD PIER,252,2,2_78
138,2:79,0.000152046,GOODWOOD PARK,113,2,2_79
139,2:80,0.000139951,TANJONG PAGAR,279,2,2_80
140,2:81,0.000134721,RAFFLES PLACE,271,2,2_81
141,2:82,0.000107605,SENTOSA,286,2,2_82
142,2:83,9.22854e-05,MAXWELL,264,2,2_83
143,2:84,8.239159999999999e-05,ORANGE GROVE,276,2,2_84
144,2:85,7.36848e-05,OXLEY,214,2,2_85
145,2:86,4.19529e-05,STRAITS VIEW,298,2,2_86
146,2:87,3.31149e-05,TANGLIN,287,2,2_87
147,2:88,3.05937e-05,MONK'S HILL,280,2,2_88
148,2:89,2.03567e-05,MARINA SOUTH,300,2,2_89
149,2:90,1.8568e-05,ISTANA NEGARA,281,2,2_90
150,2:91,1.48695e-05,PHILLIP,303,2,2_91
151,3:1,0.0245725,JURONG WEST CENTRAL,65,3,3_1
152,3:2,0.0154255,YUNNAN,11,3,3_2
153,3:3,0.0117833,HONG KAH,43,3,3_3
154,3:4,0.0106817,BOON LAY PLACE,134,3,3_4
155,3:5,0.00902244,JURONG GATEWAY,89,3,3_5
156,3:6,0.00722574,TAMAN JURONG,8,3,3_6
157,3:7,0.00674547,WESTERN WATER CATCHMENT,47,3,3_7
158,3:8,0.00506543,YUHUA WEST,103,3,3_8
159,3:9,0.00474472,YUHUA EAST,104,3,3_9
160,3:10,0.00387552,TEBAN GARDENS,13,3,3_10
161,3:11,0.00340205,TOH GUAN,191,3,3_11
162,3:12,0.00292658,WENYA,268,3,3_12
163,3:13,0.00204501,LAKESIDE,7,3,3_13
164,3:14,0.00187116,JOO KOON,201,3,3_14
165,3:15,0.001472,KIAN TECK,152,3,3_15
166,3:16,0.000829538,CHIN BEE,275,3,3_16
167,3:17,0.0007977710000000001,JURONG RIVER,39,3,3_17
168,3:18,0.00055446,WEST COAST,14,3,3_18
169,3:19,0.000345465,TUKANG,12,3,3_19
170,3:20,0.000250103,GUL CIRCLE,277,3,3_20
171,3:21,0.000244367,LIU FANG,213,3,3_21
172,3:22,0.00024171900000000002,JURONG PORT,272,3,3_22
173,3:23,0.00011873600000000001,GUL BASIN,296,3,3_23
174,3:24,0.000118072,BENOI SECTOR,248,3,3_24
175,3:25,0.00010150799999999999,INTERNATIONAL BUSINESS PARK,233,3,3_25
176,3:26,7.81742e-05,SAMULUN,258,3,3_26
177,3:27,5.3448999999999996e-05,SHIPYARD,266,3,3_27
178,3:28,5.09832e-05,PIONEER SECTOR,274,3,3_28
179,3:29,4.53401e-05,TENGEH,301,3,3_29
180,3:30,4.28321e-05,SAFTI,290,3,3_30
181,4:1,0.0243329,WOODLANDS REGIONAL CENTRE,77,4,4_1
182,4:2,0.0146079,NORTH COAST,36,4,4_2
183,4:3,0.012470700000000001,WOODLANDS EAST,85,4,4_3
184,4:4,0.011707700000000001,WOODLANDS WEST,157,4,4_4
185,4:5,0.00859304,MIDVIEW,18,4,4_5
186,4:6,0.00647788,WOODLANDS SOUTH,19,4,4_6
187,4:7,0.00494265,TURF CLUB,178,4,4_7
188,4:8,0.0038260999999999994,WOODGROVE,116,4,4_8
