ind,clusters,flow,node,ori_index,level_1,level_2
0,1:1,0.022870500000000002,TAMPINES EAST,40,1,1_1
1,1:2,0.0187935,BEDOK NORTH,16,1,1_2
2,1:3,0.0153031,TOA PAYOH CENTRAL,68,1,1_3
3,1:4,0.013772399999999999,GEYLANG EAST,10,1,1_4
4,1:5,0.013396799999999999,ALJUNIED,21,1,1_5
5,1:6,0.012658599999999999,TAMPINES WEST,78,1,1_6
6,1:7,0.0124039,SERANGOON CENTRAL,69,1,1_7
7,1:8,0.010387700000000001,SENGKANG TOWN CENTRE,33,1,1_8
8,1:9,0.00947596,FRANKEL,121,1,1_9
9,1:10,0.00901927,HOUGANG CENTRAL,81,1,1_10
10,1:11,0.0076518,SIMEI,28,1,1_11
11,1:12,0.00722508,MARINE PARADE,50,1,1_12
12,1:13,0.00681411,BEDOK SOUTH,123,1,1_13
13,1:14,0.00662234,KAKI BUKIT,25,1,1_14
14,1:15,0.00648156,CHANGI AIRPORT,41,1,1_15
15,1:16,0.0062467,HOUGANG WEST,167,1,1_16
16,1:17,0.00592877,MATILDA,99,1,1_17
17,1:18,0.00591453,LORONG AH SOO,83,1,1_18
18,1:19,0.0055812,KEMBANGAN,91,1,1_19
19,1:20,0.00556515,RIVERVALE,32,1,1_20
20,1:21,0.00518263,TRAFALGAR,4,1,1_21
21,1:22,0.0047511,SERANGOON GARDEN,80,1,1_22
22,1:23,0.00458263,KAMPONG UBI,56,1,1_23
23,1:24,0.0043476999999999995,PUNGGOL FIELD,29,1,1_24
24,1:25,0.00433744,BEDOK RESERVOIR,74,1,1_25
25,1:26,0.00406579,MACPHERSON,20,1,1_26
26,1:27,0.00337015,ANCHORVALE,208,1,1_27
27,1:28,0.00331824,KOVAN,26,1,1_28
28,1:29,0.00308817,KATONG,159,1,1_29
29,1:30,0.003029,FERNVALE,3,1,1_30
30,1:31,0.00288827,SERANGOON NORTH,93,1,1_31
31,1:32,0.00281733,BOON TECK,122,1,1_32
32,1:33,0.00280396,KANGKAR,131,1,1_33
33,1:34,0.0027087,COMPASSVALE,150,1,1_34
34,1:35,0.00267061,UPPER PAYA LEBAR,201,1,1_35
35,1:36,0.00260077,HOUGANG EAST,31,1,1_36
36,1:37,0.0024768,LORONG 8 TOA PAYOH,57,1,1_37
37,1:38,0.00246106,PEI CHUN,67,1,1_38
38,1:39,0.00237769,TOA PAYOH WEST,94,1,1_39
39,1:40,0.00236081,BRADDELL,186,1,1_40
40,1:41,0.00217512,SENNETT,136,1,1_41
41,1:42,0.0021521,POTONG PASIR,242,1,1_42
42,1:43,0.00212611,TAI SENG,196,1,1_43
43,1:44,0.00199156,XILIN,238,1,1_44
44,1:45,0.00181145,JOO SENG,175,1,1_45
45,1:46,0.00154775,MOUNTBATTEN,107,1,1_46
46,1:47,0.00154426,WATERWAY EAST,172,1,1_47
47,1:48,0.00140004,TAMPINES NORTH,255,1,1_48
48,1:49,0.00135445,CHANGI POINT,234,1,1_49
49,1:50,0.00129659,FLORA DRIVE,27,1,1_50
50,1:51,0.00118773,KALLANG WAY,161,1,1_51
51,1:52,0.00112299,DEFU INDUSTRIAL PARK,9,1,1_52
52,1:53,0.00102324,TANJONG RHU,54,1,1_53
53,1:54,0.0009902910000000001,CHANGI WEST,168,1,1_54
54,1:55,0.00088099,PAYA LEBAR NORTH,139,1,1_55
55,1:56,0.00084471,PUNGGOL TOWN CENTRE,210,1,1_56
56,1:57,0.000834248,SELETAR,229,1,1_57
57,1:58,0.000818397,LORONG CHUAN,162,1,1_58
58,1:59,0.0008157689999999999,BIDADARI,62,1,1_59
59,1:60,0.000795221,SIGLAP,198,1,1_60
60,1:61,0.000754931,WOODLEIGH,246,1,1_61
61,1:62,0.000575032,KIM KEAT,199,1,1_62
62,1:63,0.000491154,BAYSHORE,98,1,1_63
63,1:64,0.00036603,LOYANG EAST,182,1,1_64
64,1:65,0.000117547,NORTHSHORE,262,1,1_65
65,1:66,0.000111836,PLAB,258,1,1_66
66,1:67,0.000105961,PAYA LEBAR WEST,266,1,1_67
67,1:68,9.07889e-05,PAYA LEBAR EAST,289,1,1_68
68,1:69,4.04183e-05,AIRPORT ROAD,303,1,1_69
69,1:70,2.86672e-05,LORONG HALUS,293,1,1_70
70,2:1,0.014115299999999999,BOULEVARD,79,2,2_1
71,2:2,0.012257500000000001,MARITIME SQUARE,38,2,2_2
72,2:3,0.0115382,CHINATOWN,5,2,2_3
73,2:4,0.0090824,VICTORIA,185,2,2_4
74,2:5,0.00875766,TIONG BAHRU STATION,126,2,2_5
75,2:6,0.008289200000000002,SOMERSET,76,2,2_6
76,2:7,0.00783663,CITY HALL,206,2,2_7
77,2:8,0.007495100000000001,BUGIS,95,2,2_8
78,2:9,0.00731703,FARRER PARK,188,2,2_9
79,2:10,0.00728131,BALESTIER,108,2,2_10
80,2:11,0.00719871,LAVENDER,82,2,2_11
81,2:12,0.00674677,ALEXANDRA HILL,106,2,2_12
82,2:13,0.00642463,MOULMEIN,128,2,2_13
83,2:14,0.0062243,BUKIT MERAH,194,2,2_14
84,2:15,0.00577242,BENDEMEER,173,2,2_15
85,2:16,0.00572369,PEOPLE'S PARK,177,2,2_16
86,2:17,0.00569133,DHOBY GHAUT,232,2,2_17
87,2:18,0.004651300000000001,BRAS BASAH,212,2,2_18
88,2:19,0.00449774,TELOK BLANGAH DRIVE,142,2,2_19
89,2:20,0.00443844,CHINA SQUARE,87,2,2_20
90,2:21,0.00437071,CRAWFORD,92,2,2_21
91,2:22,0.00426446,REDHILL,84,2,2_22
92,2:23,0.00398636,MARINA CENTRE,49,2,2_23
93,2:24,0.0038789000000000002,TIONG BAHRU,97,2,2_24
94,2:25,0.00355502,PEARL'S HILL,17,2,2_25
95,2:26,0.00354262,HENDERSON HILL,125,2,2_26
96,2:27,0.00351136,KALLANG BAHRU,166,2,2_27
97,2:28,0.00348654,MEI CHIN,169,2,2_28
98,2:29,0.00347293,BOON KENG,197,2,2_29
99,2:30,0.00328282,GEYLANG BAHRU,133,2,2_30
100,2:31,0.00320097,EVERTON PARK,174,2,2_31
101,2:32,0.00302328,TELOK BLANGAH RISE,146,2,2_32
102,2:33,0.00301304,KAMPONG TIONG BAHRU,200,2,2_33
103,2:34,0.00282782,SINGAPORE GENERAL HOSPITAL,145,2,2_34
104,2:35,0.00273492,KAMPONG JAVA,64,2,2_35
105,2:36,0.00266096,NEWTON CIRCUS,205,2,2_36
106,2:37,0.00265041,CLARKE QUAY,154,2,2_37
107,2:38,0.0026128,CENTRAL SUBZONE,109,2,2_38
108,2:39,0.00256861,CHATSWORTH,247,2,2_39
109,2:40,0.00246542,NASSIM,111,2,2_40
110,2:41,0.00242611,ROBERTSON QUAY,224,2,2_41
111,2:42,0.00232688,CECIL,217,2,2_42
112,2:43,0.0022488000000000005,BENCOOLEN,223,2,2_43
113,2:44,0.00208225,BUKIT HO SWEE,138,2,2_44
114,2:45,0.002068,TELOK BLANGAH WAY,53,2,2_45
115,2:46,0.00193171,MARGARET DRIVE,52,2,2_46
116,2:47,0.00191486,BAYFRONT SUBZONE,283,2,2_47
117,2:48,0.00188403,BOAT QUAY,230,2,2_48
118,2:49,0.00185672,QUEENSWAY,183,2,2_49
119,2:50,0.00172823,RIDOUT,233,2,2_50
120,2:51,0.00169114,CLIFFORD PIER,254,2,2_51
121,2:52,0.00168913,SUNGEI ROAD,153,2,2_52
122,2:53,0.00163986,RAFFLES PLACE,273,2,2_53
123,2:54,0.0015155,MALCOLM,176,2,2_54
124,2:55,0.0014941,KAMPONG GLAM,178,2,2_55
125,2:56,0.00147966,PASIR PANJANG 2,59,2,2_56
126,2:57,0.00145721,KAMPONG BUGIS,140,2,2_57
127,2:58,0.00126568,SELEGIE,135,2,2_58
128,2:59,0.00124736,MACKENZIE,170,2,2_59
