ind,clusters,flow,node,ori_index,level_1,level_2
197,5:24,4.3939799999999996e-05,THE WHARVES,258,5,5_24
198,6:1,0.0116679,SERANGOON CENTRAL,69,6,6_1
199,6:2,0.00998352,HOUGANG CENTRAL,81,6,6_2
200,6:3,0.00791583,HOUGANG WEST,167,6,6_3
201,6:4,0.00718015,TRAFALGAR,4,6,6_4
202,6:5,0.00647048,LORONG AH SOO,83,6,6_5
203,6:6,0.0054428,SERANGOON GARDEN,80,6,6_6
204,6:7,0.00468657,KANGKAR,131,6,6_7
205,6:8,0.00405998,HOUGANG EAST,31,6,6_8
206,6:9,0.00380717,SERANGOON NORTH,93,6,6_9
207,6:10,0.00376732,KOVAN,26,6,6_10
208,6:11,0.00259814,UPPER PAYA LEBAR,201,6,6_11
209,6:12,0.00250708,TAI SENG,196,6,6_12
210,6:13,0.00211896,JOO SENG,175,6,6_13
211,6:14,0.0014870999999999999,DEFU INDUSTRIAL PARK,9,6,6_14
212,6:15,0.0009871839999999999,LORONG CHUAN,162,6,6_15
213,6:16,0.000889554,BIDADARI,62,6,6_16
214,6:17,3.60581e-05,LORONG HALUS,294,6,6_17
215,7:1,0.0205996,JURONG WEST CENTRAL,65,7,7_1
216,7:2,0.010184100000000001,YUNNAN,11,7,7_2
217,7:3,0.00991056,HONG KAH,43,7,7_3
218,7:4,0.00629604,BOON LAY PLACE,134,7,7_4
219,7:5,0.00598439,TAMAN JURONG,8,7,7_5
220,7:6,0.00514493,YUHUA WEST,103,7,7_6
221,7:7,0.00300835,WESTERN WATER CATCHMENT,47,7,7_7
222,7:8,0.00180238,LAKESIDE,7,7,7_8
223,7:9,0.00173549,WENYA,270,7,7_9
224,7:10,0.00132907,JOO KOON,202,7,7_10
225,7:11,0.000807333,KIAN TECK,152,7,7_11
226,7:12,0.000591704,CHIN BEE,278,7,7_12
227,7:13,0.00030230599999999996,LIU FANG,214,7,7_13
228,7:14,0.00029164400000000003,TUKANG,12,7,7_14
229,7:15,0.00018277099999999998,JURONG PORT,275,7,7_15
230,7:16,0.000127581,GUL CIRCLE,280,7,7_16
231,7:17,0.00011884700000000001,SAMULUN,260,7,7_17
232,7:18,0.00011407299999999999,SHIPYARD,268,7,7_18
233,7:19,0.00010222299999999999,GUL BASIN,296,7,7_19
234,7:20,7.97744e-05,BENOI SECTOR,251,7,7_20
235,7:21,5.81974e-05,PIONEER SECTOR,277,7,7_21
236,7:22,3.10875e-05,SAFTI,291,7,7_22
237,8:1,0.0113947,ANG MO KIO TOWN CENTRE,60,8,8_1
238,8:2,0.00819785,BISHAN EAST,61,8,8_2
239,8:3,0.00584934,UPPER THOMSON,110,8,8_3
240,8:4,0.00533752,CHONG BOON,34,8,8_4
241,8:5,0.0053155,CHENG SAN,73,8,8_5
242,8:6,0.00476488,MARYMOUNT,22,8,8_6
243,8:7,0.00403937,YIO CHU KANG,55,8,8_7
244,8:8,0.00318384,SHANGRI-LA,63,8,8_8
245,8:9,0.0030042,YIO CHU KANG WEST,143,8,8_9
246,8:10,0.00296424,TOWNSVILLE,96,8,8_10
247,8:11,0.00279786,KEBUN BAHRU,144,8,8_11
248,8:12,0.00167289,SELETAR HILLS,217,8,8_12
249,8:13,0.00130179,CENTRAL WATER CATCHMENT,118,8,8_13
250,8:14,0.00127608,TAGORE,273,8,8_14
251,8:15,0.00127152,YIO CHU KANG EAST,257,8,8_15
252,8:16,0.00118398,SEMBAWANG HILLS,209,8,8_16
253,8:17,0.000958693,YIO CHU KANG NORTH,46,8,8_17
254,8:18,0.0008409789999999999,SERANGOON NORTH IND ESTATE,226,8,8_18
255,8:19,0.000450637,SPRINGLEAF,130,8,8_19
256,8:20,0.00038662300000000006,NEE SOON,265,8,8_20
257,8:21,0.00019758900000000002,SENGKANG WEST,250,8,8_21
258,8:22,5.4280900000000004e-05,MANDAI WEST,297,8,8_22
259,9:1,0.00688628,BALESTIER,108,9,9_1
260,9:2,0.005257,LAVENDER,82,9,9_2
261,9:3,0.0052232,BENDEMEER,173,9,9_3
262,9:4,0.00491171,VICTORIA,185,9,9_4
263,9:5,0.00485005,MOULMEIN,128,9,9_5
264,9:6,0.00434764,FARRER PARK,188,9,9_6
265,9:7,0.00332173,GEYLANG BAHRU,133,9,9_7
266,9:8,0.00301432,BOON KENG,197,9,9_8
267,9:9,0.00284744,KALLANG BAHRU,166,9,9_9
268,9:10,0.00217684,KAMPONG JAVA,64,9,9_10
269,9:11,0.00216403,POTONG PASIR,243,9,9_11
270,9:12,0.0020055,SENNETT,136,9,9_12
271,9:13,0.00155518,BENCOOLEN,224,9,9_13
272,9:14,0.00119303,SUNGEI ROAD,153,9,9_14
273,9:15,0.00114115,KALLANG WAY,161,9,9_15
274,9:16,0.000959059,WOODLEIGH,247,9,9_16
275,9:17,0.0008373260000000001,SELEGIE,135,9,9_17
276,9:18,0.000817053,MACKENZIE,170,9,9_18
277,9:19,0.000741507,MOUNT PLEASANT,240,9,9_19
278,9:20,0.00059979,ROCHOR CANAL,88,9,9_20
279,9:21,0.000339461,LITTLE INDIA,203,9,9_21
280,9:22,0.000112815,MONK'S HILL,215,9,9_22
281,9:23,9.59949e-05,ISTANA NEGARA,282,9,9_23
282,10:1,0.0164079,YISHUN CENTRAL,2,10,10_1
283,10:2,0.00921726,YISHUN WEST,137,10,10_2
284,10:3,0.00820224,YISHUN EAST,187,10,10_3
285,10:4,0.00641929,YISHUN SOUTH,45,10,10_4
286,10:5,0.00641251,KHATIB,120,10,10_5
287,10:6,0.00434995,NORTHLAND,191,10,10_6
288,10:7,0.00221617,LOWER SELETAR,261,10,10_7
289,10:8,0.000177625,MANDAI ESTATE,44,10,10_8
290,11:1,0.011982099999999999,CHOA CHU KANG CENTRAL,141,11,11_1
291,11:2,0.00476251,PENG SIANG,180,11,11_2
292,11:3,0.00474315,KEAT HONG,158,11,11_3
293,11:4,0.0044535,TECK WHYE,66,11,11_4
294,11:5,0.00360366,CHOA CHU KANG NORTH,148,11,11_5
295,11:6,0.00317535,YEW TEE,147,11,11_6
296,11:7,8.1876e-05,LIM CHU KANG,245,11,11_7
297,12:1,0.000508913,TUAS BAY,295,12,12_1
298,12:2,0.000502174,TUAS VIEW,254,12,12_2
299,12:3,0.000331365,TUAS PROMENADE,253,12,12_3
300,12:4,0.000277087,TUAS VIEW EXTENSION,299,12,12_4
301,12:5,0.00015893100000000001,TUAS NORTH,281,12,12_5
302,12:6,1.60638e-05,TENGEH,301,12,12_6
