ind,clusters,flow,node,ori_index,level_1,level_2
0,1:1,0.0220949,TAMPINES EAST,40,1,1_1
1,1:2,0.018459700000000002,BEDOK NORTH,16,1,1_2
2,1:3,0.0172152,SENGKANG TOWN CENTRE,33,1,1_3
3,1:4,0.0135857,TAMPINES WEST,78,1,1_4
4,1:5,0.0132596,RIVERVALE,32,1,1_5
5,1:6,0.0126391,ALJUNIED,21,1,1_6
6,1:7,0.012198899999999999,TOA PAYOH CENTRAL,68,1,1_7
7,1:8,0.0120336,PASIR RIS CENTRAL,24,1,1_8
8,1:9,0.0117227,MATILDA,99,1,1_9
9,1:10,0.0115977,SERANGOON CENTRAL,69,1,1_10
10,1:11,0.0101916,HOUGANG CENTRAL,81,1,1_11
11,1:12,0.0100144,PASIR RIS DRIVE,30,1,1_12
12,1:13,0.00999051,HOUGANG WEST,167,1,1_13
13,1:14,0.00955432,TRAFALGAR,4,1,1_14
14,1:15,0.00917797,PUNGGOL FIELD,29,1,1_15
15,1:16,0.00914369,GEYLANG EAST,10,1,1_16
16,1:17,0.00868818,FRANKEL,121,1,1_17
17,1:18,0.00819701,KAKI BUKIT,25,1,1_18
18,1:19,0.00744963,PASIR RIS WEST,127,1,1_19
19,1:20,0.00708043,ANCHORVALE,208,1,1_20
20,1:21,0.00683188,LORONG AH SOO,83,1,1_21
21,1:22,0.00681191,BEDOK SOUTH,123,1,1_22
22,1:23,0.00648289,KEMBANGAN,91,1,1_23
23,1:24,0.00645188,BALESTIER,108,1,1_24
24,1:25,0.00621214,FERNVALE,3,1,1_25
25,1:26,0.00601967,SERANGOON GARDEN,80,1,1_26
26,1:27,0.00545929,BENDEMEER,173,1,1_27
27,1:28,0.00520604,KANGKAR,131,1,1_28
28,1:29,0.00520096,WATERWAY EAST,172,1,1_29
29,1:30,0.00517255,HOUGANG EAST,31,1,1_30
30,1:31,0.00499515,MARINE PARADE,50,1,1_31
31,1:32,0.0048227,BEDOK RESERVOIR,74,1,1_32
32,1:33,0.00465824,SERANGOON NORTH,93,1,1_33
33,1:34,0.00465547,SIMEI,28,1,1_34
