ind,clusters,flow,node,ori_index,level_1,level_2
0,1:1,0.023920300000000002,TAMPINES EAST,40,1,1_1
1,1:2,0.0193113,BEDOK NORTH,16,1,1_2
2,1:3,0.0165035,SENGKANG TOWN CENTRE,33,1,1_3
3,1:4,0.013977400000000001,TOA PAYOH CENTRAL,68,1,1_4
4,1:5,0.013537200000000001,TAMPINES WEST,78,1,1_5
5,1:6,0.012151899999999998,ALJUNIED,21,1,1_6
6,1:7,0.0114385,RIVERVALE,32,1,1_7
7,1:8,0.011062200000000001,PASIR RIS CENTRAL,24,1,1_8
8,1:9,0.0107888,GEYLANG EAST,10,1,1_9
9,1:10,0.0102323,MATILDA,99,1,1_10
10,1:11,0.00954277,FRANKEL,121,1,1_11
11,1:12,0.00840656,PUNGGOL FIELD,29,1,1_12
12,1:13,0.00840034,PASIR RIS DRIVE,30,1,1_13
13,1:14,0.00799011,KAKI BUKIT,25,1,1_14
14,1:15,0.00731985,BEDOK SOUTH,123,1,1_15
15,1:16,0.00643497,MARINE PARADE,50,1,1_16
16,1:17,0.00640087,ANCHORVALE,207,1,1_17
17,1:18,0.00620577,KEMBANGAN,91,1,1_18
18,1:19,0.006028899999999999,PASIR RIS WEST,127,1,1_19
19,1:20,0.00590016,FERNVALE,3,1,1_20
20,1:21,0.00550248,SIMEI,28,1,1_21
21,1:22,0.00536276,CHANGI AIRPORT,41,1,1_22
22,1:23,0.00504866,BEDOK RESERVOIR,74,1,1_23
23,1:24,0.00458364,MACPHERSON,20,1,1_24
24,1:25,0.00418002,KAMPONG UBI,56,1,1_25
25,1:26,0.00410621,WATERWAY EAST,172,1,1_26
26,1:27,0.00288734,BOON TECK,122,1,1_27
27,1:28,0.00268678,KATONG,159,1,1_28
28,1:29,0.00253248,LORONG 8 TOA PAYOH,57,1,1_29
29,1:30,0.00234711,PEI CHUN,67,1,1_30
30,1:31,0.00229107,BRADDELL,186,1,1_31
31,1:32,0.00209904,TOA PAYOH WEST,94,1,1_32
32,1:33,0.00189399,MOUNTBATTEN,107,1,1_33
