ind,clusters,flow,node,ori_index,level_1,level_2
0,1:1,0.0148065,TOA PAYOH CENTRAL,68,1,1_1
1,1:2,0.0123525,BOULEVARD,79,1,1_2
2,1:3,0.0120297,CLEMENTI CENTRAL,37,1,1_3
3,1:4,0.010456,MARITIME SQUARE,38,1,1_4
4,1:5,0.00878831,CHINATOWN,5,1,1_5
5,1:6,0.00819117,TIONG BAHRU STATION,125,1,1_6
6,1:7,0.00765338,VICTORIA,185,1,1_7
7,1:8,0.00732179,CLEMENTI NORTH,163,1,1_8
8,1:9,0.00731611,SOMERSET,76,1,1_9
9,1:10,0.00655093,BUGIS,95,1,1_10
10,1:11,0.00653964,BALESTIER,108,1,1_11
11,1:12,0.00641518,MOULMEIN,127,1,1_12
12,1:13,0.006342,FARRER PARK,188,1,1_13
13,1:14,0.00620051,CITY HALL,206,1,1_14
14,1:15,0.00615192,LAVENDER,82,1,1_15
15,1:16,0.00582397,ALEXANDRA HILL,106,1,1_16
16,1:17,0.00559225,BENDEMEER,173,1,1_17
17,1:18,0.00527773,BUKIT MERAH,194,1,1_18
18,1:19,0.00524174,DHOBY GHAUT,232,1,1_19
19,1:20,0.004624100000000001,PEOPLE'S PARK,177,1,1_20
20,1:21,0.00443227,TELOK BLANGAH DRIVE,142,1,1_21
21,1:22,0.00425594,HOLLAND ROAD,51,1,1_22
22,1:23,0.00392944,CRAWFORD,92,1,1_23
23,1:24,0.00382477,ONE NORTH,112,1,1_24
24,1:25,0.00379238,BRAS BASAH,211,1,1_25
25,1:26,0.00376745,CHINA SQUARE,87,1,1_26
26,1:27,0.00365461,REDHILL,84,1,1_27
27,1:28,0.00338785,KALLANG BAHRU,166,1,1_28
28,1:29,0.0033373000000000005,HENDERSON HILL,133,1,1_29
29,1:30,0.00333723,CLEMENTI WOODS,15,1,1_30
30,1:31,0.00327454,GEYLANG BAHRU,132,1,1_31
31,1:32,0.00321393,MEI CHIN,169,1,1_32
32,1:33,0.00315874,CLEMENTI WEST,212,1,1_33
33,1:34,0.00313088,BOON KENG,197,1,1_34
34,1:35,0.00305503,TIONG BAHRU,97,1,1_35
35,1:36,0.00298529,TELOK BLANGAH RISE,146,1,1_36
36,1:37,0.00294612,MARINA CENTRE,49,1,1_37
37,1:38,0.00292364,PEARL'S HILL,17,1,1_38
38,1:39,0.00291541,EVERTON PARK,174,1,1_39
