ind,clusters,flow,node,ori_index,level_1,level_2
0,1:1,0.0159628,SENGKANG TOWN CENTRE,33,1,1_1
1,1:2,0.0129874,RIVERVALE,32,1,1_2
2,1:3,0.0116911,PASIR RIS CENTRAL,24,1,1_3
3,1:4,0.0113194,TOA PAYOH CENTRAL,68,1,1_4
4,1:5,0.0111517,PASIR RIS DRIVE,30,1,1_5
5,1:6,0.010994499999999999,MATILDA,99,1,1_6
6,1:7,0.00984167,HOUGANG WEST,167,1,1_7
7,1:8,0.00959095,SERANGOON CENTRAL,69,1,1_8
8,1:9,0.009528299999999998,HOUGANG CENTRAL,81,1,1_9
9,1:10,0.00934804,TRAFALGAR,4,1,1_10
10,1:11,0.00890372,PUNGGOL FIELD,29,1,1_11
11,1:12,0.00778466,PASIR RIS WEST,127,1,1_12
12,1:13,0.00725134,ANCHORVALE,208,1,1_13
13,1:14,0.0066879999999999995,FERNVALE,3,1,1_14
14,1:15,0.0063874,LORONG AH SOO,83,1,1_15
15,1:16,0.00583624,SERANGOON GARDEN,80,1,1_16
16,1:17,0.00552563,WATERWAY EAST,172,1,1_17
17,1:18,0.00543657,HOUGANG EAST,31,1,1_18
18,1:19,0.005086600000000001,KANGKAR,131,1,1_19
19,1:20,0.00469718,SERANGOON NORTH,93,1,1_20
20,1:21,0.00376609,KOVAN,26,1,1_21
21,1:22,0.00353474,COMPASSVALE,150,1,1_22
22,1:23,0.00311476,BOON TECK,122,1,1_23
23,1:24,0.00285428,LORONG 8 TOA PAYOH,57,1,1_24
24,1:25,0.00268725,PEI CHUN,67,1,1_25
25,1:26,0.00252224,UPPER PAYA LEBAR,201,1,1_26
26,1:27,0.00242626,PASIR RIS PARK,151,1,1_27
27,1:28,0.00237287,TAI SENG,196,1,1_28
28,1:29,0.00234607,BRADDELL,186,1,1_29
29,1:30,0.00197037,JOO SENG,175,1,1_30
30,1:31,0.00195869,TOA PAYOH WEST,94,1,1_31
31,1:32,0.00186903,POTONG PASIR,242,1,1_32
32,1:33,0.00164951,SELETAR HILLS,216,1,1_33
33,1:34,0.00162944,PUNGGOL TOWN CENTRE,210,1,1_34
34,1:35,0.00155867,SELETAR,229,1,1_35
35,1:36,0.00141107,DEFU INDUSTRIAL PARK,9,1,1_36
36,1:37,0.00102192,PASIR RIS WAFER FAB PARK,119,1,1_37
37,1:38,0.000922642,WOODLEIGH,246,1,1_38
38,1:39,0.000861937,KIM KEAT,199,1,1_39
39,1:40,0.00076058,LOYANG WEST,129,1,1_40
40,1:41,0.0007465869999999999,LORONG CHUAN,162,1,1_41
41,1:42,0.0007443110000000001,BIDADARI,62,1,1_42
42,1:43,0.000595542,YIO CHU KANG NORTH,46,1,1_43
43,1:44,0.00019135299999999998,NORTHSHORE,261,1,1_44
44,1:45,4.8566099999999996e-05,PLAB,294,1,1_45
45,1:46,2.87636e-05,LORONG HALUS,295,1,1_46
46,2:1,0.00662594,BALESTIER,108,2,2_1
47,2:2,0.0052266000000000005,MARITIME SQUARE,38,2,2_2
48,2:3,0.00509889,TIONG BAHRU STATION,126,2,2_3
49,2:4,0.00505363,BENDEMEER,173,2,2_4
50,2:5,0.00407342,LAVENDER,82,2,2_5
51,2:6,0.0038316,BOULEVARD,79,2,2_6
52,2:7,0.0037389000000000003,FARRER PARK,188,2,2_7
53,2:8,0.00367708,ALEXANDRA HILL,106,2,2_8
54,2:9,0.00303973,MOULMEIN,128,2,2_9
55,2:10,0.00276408,MEI CHIN,169,2,2_10
56,2:11,0.00265863,HENDERSON HILL,125,2,2_11
57,2:12,0.00258633,SOMERSET,76,2,2_12
58,2:13,0.0025786999999999997,TELOK BLANGAH RISE,146,2,2_13
59,2:14,0.00253149,BOON KENG,197,2,2_14
60,2:15,0.0024511,BUGIS,95,2,2_15
61,2:16,0.00241871,REDHILL,84,2,2_16
62,2:17,0.00240833,TELOK BLANGAH DRIVE,142,2,2_17
63,2:18,0.00239461,CHINATOWN,5,2,2_18
64,2:19,0.00234744,GEYLANG BAHRU,133,2,2_19
65,2:20,0.00233934,DHOBY GHAUT,232,2,2_20
66,2:21,0.00208677,BUKIT MERAH,194,2,2_21
67,2:22,0.00202903,PEOPLE'S PARK,177,2,2_22
68,2:23,0.00202273,TANGLIN HALT,195,2,2_23
69,2:24,0.00201309,CITY HALL,206,2,2_24
70,2:25,0.00190715,SENNETT,136,2,2_25
71,2:26,0.00190307,CRAWFORD,92,2,2_26
72,2:27,0.00190164,KALLANG BAHRU,166,2,2_27
73,2:28,0.00187593,KAMPONG TIONG BAHRU,200,2,2_28
74,2:29,0.00168349,TELOK BLANGAH WAY,53,2,2_29
75,2:30,0.0016762999999999997,VICTORIA,185,2,2_30
76,2:31,0.00165293,COMMONWEALTH,171,2,2_31
77,2:32,0.00164332,HOLLAND DRIVE,102,2,2_32
78,2:33,0.00160494,KAMPONG JAVA,64,2,2_33
79,2:34,0.00156876,SINGAPORE GENERAL HOSPITAL,145,2,2_34
80,2:35,0.00152042,TIONG BAHRU,97,2,2_35
81,2:36,0.0014714,NEWTON CIRCUS,205,2,2_36
82,2:37,0.00136298,BRAS BASAH,212,2,2_37
83,2:38,0.00133571,EVERTON PARK,174,2,2_38
84,2:39,0.00129618,BUKIT HO SWEE,138,2,2_39
85,2:40,0.00125676,MARGARET DRIVE,52,2,2_40
86,2:41,0.00123076,CHATSWORTH,248,2,2_41
87,2:42,0.00120739,MALCOLM,176,2,2_42
88,2:43,0.00117233,PEARL'S HILL,17,2,2_43
89,2:44,0.00111805,SUNGEI ROAD,153,2,2_44
90,2:45,0.00107674,CLARKE QUAY,154,2,2_45
91,2:46,0.00107114,KAMPONG BUGIS,140,2,2_46
92,2:47,0.00103063,MARINA CENTRE,49,2,2_47
93,2:48,0.000963428,NASSIM,111,2,2_48
94,2:49,0.0009129660000000001,ROBERTSON QUAY,224,2,2_49
95,2:50,0.00083234,CHINA SQUARE,87,2,2_50
96,2:51,0.000807419,TYERSALL,226,2,2_51
97,2:52,0.000744535,DEPOT ROAD,218,2,2_52
98,2:53,0.000741169,FARRER COURT,273,2,2_53
99,2:54,0.00072705,BENCOOLEN,223,2,2_54
100,2:55,0.000679457,DUNEARN,222,2,2_55
101,2:56,0.000626552,QUEENSWAY,183,2,2_56
102,2:57,0.000620834,BOAT QUAY,230,2,2_57
103,2:58,0.000614478,BAYFRONT SUBZONE,283,2,2_58
104,2:59,0.000483761,MACKENZIE,170,2,2_59
105,2:60,0.000473385,CENTRAL SUBZONE,109,2,2_60
106,2:61,0.000449575,CITY TERMINALS,235,2,2_61
107,2:62,0.000439078,FORT CANNING,260,2,2_62
108,2:63,0.000415885,KAMPONG GLAM,178,2,2_63
109,2:64,0.00040231800000000003,ONE TREE HILL,155,2,2_64
110,2:65,0.000398933,PASIR PANJANG 2,59,2,2_65
111,2:66,0.000396199,HILLCREST,90,2,2_66
112,2:67,0.000392959,SELEGIE,135,2,2_67
113,2:68,0.000387278,RIDOUT,233,2,2_68
114,2:69,0.00033173199999999995,PATERSON,284,2,2_69
115,2:70,0.00032747900000000004,ROCHOR CANAL,88,2,2_70
116,2:71,0.000318646,CECIL,217,2,2_71
117,2:72,0.00030033400000000003,INSTITUTION HILL,288,2,2_72
118,2:73,0.000288091,LITTLE INDIA,203,2,2_73
119,2:74,0.00028174200000000003,ANSON,237,2,2_74
120,2:75,0.000247152,LEONIE HILL,23,2,2_75
121,2:76,0.000246419,CLIFFORD PIER,254,2,2_76
122,2:77,0.000216388,TANJONG PAGAR,219,2,2_77
123,2:78,0.000207078,RAFFLES PLACE,271,2,2_78
124,2:79,0.00018360900000000002,ALEXANDRA NORTH,251,2,2_79
125,2:80,0.00017968700000000002,GOODWOOD PARK,113,2,2_80
126,2:81,0.00013461700000000002,MAXWELL,263,2,2_81
127,2:82,0.000101344,OXLEY,215,2,2_82
128,2:83,9.66353e-05,ORANGE GROVE,277,2,2_83
129,2:84,9.35604e-05,SENTOSA,286,2,2_84
130,2:85,4.54525e-05,TANGLIN,287,2,2_85
131,2:86,3.8476e-05,STRAITS VIEW,298,2,2_86
132,2:87,3.3705100000000004e-05,MONK'S HILL,280,2,2_87
133,2:88,2.5238400000000002e-05,PHILLIP,303,2,2_88
134,2:89,2.4044899999999997e-05,ISTANA NEGARA,281,2,2_89
135,2:90,2.3504e-05,MARINA SOUTH,300,2,2_90
136,3:1,0.024413,JURONG WEST CENTRAL,65,3,3_1
137,3:2,0.0147512,YUNNAN,11,3,3_2
138,3:3,0.0112444,HONG KAH,43,3,3_3
139,3:4,0.010064299999999998,JURONG GATEWAY,89,3,3_4
140,3:5,0.00969107,BOON LAY PLACE,134,3,3_5
141,3:6,0.00686483,TAMAN JURONG,8,3,3_6
142,3:7,0.006129600000000001,WESTERN WATER CATCHMENT,47,3,3_7
143,3:8,0.00496297,YUHUA EAST,104,3,3_8
144,3:9,0.00484552,YUHUA WEST,103,3,3_9
145,3:10,0.00383473,TEBAN GARDENS,13,3,3_10
146,3:11,0.00365983,TOH GUAN,192,3,3_11
147,3:12,0.00260865,WENYA,267,3,3_12
148,3:13,0.00223212,JOO KOON,202,3,3_13
149,3:14,0.0019335,LAKESIDE,7,3,3_14
150,3:15,0.00122619,KIAN TECK,152,3,3_15
151,3:16,0.000869164,CHIN BEE,275,3,3_16
152,3:17,0.000749627,JURONG RIVER,39,3,3_17
153,3:18,0.00041564699999999995,TUKANG,12,3,3_18
154,3:19,0.00030538099999999997,LIU FANG,214,3,3_19
155,3:20,0.000244298,GUL CIRCLE,278,3,3_20
156,3:21,0.000222805,JURONG PORT,272,3,3_21
157,3:22,0.000171261,SAMULUN,258,3,3_22
158,3:23,0.000153917,BENOI SECTOR,250,3,3_23
159,3:24,0.00014657600000000001,INTERNATIONAL BUSINESS PARK,236,3,3_24
160,3:25,0.00014398700000000002,GUL BASIN,296,3,3_25
161,3:26,9.82283e-05,SAFTI,290,3,3_26
162,3:27,6.59397e-05,SHIPYARD,265,3,3_27
163,3:28,5.718979999999999e-05,PIONEER SECTOR,274,3,3_28
164,4:1,0.017479599999999998,BEDOK NORTH,16,4,4_1
165,4:2,0.012138,ALJUNIED,21,4,4_2
166,4:3,0.00914593,FRANKEL,121,4,4_3
167,4:4,0.00825478,GEYLANG EAST,10,4,4_4
168,4:5,0.00801093,KAKI BUKIT,25,4,4_5
169,4:6,0.0071694,BEDOK SOUTH,123,4,4_6
170,4:7,0.00642275,KEMBANGAN,91,4,4_7
171,4:8,0.00489003,MARINE PARADE,50,4,4_8
172,4:9,0.00474074,BEDOK RESERVOIR,74,4,4_9
173,4:10,0.00405779,KAMPONG UBI,56,4,4_10
174,4:11,0.00393305,MACPHERSON,20,4,4_11
175,4:12,0.00234614,KATONG,159,4,4_12
176,4:13,0.0014555,MOUNTBATTEN,107,4,4_13
