ind,clusters,flow,node,ori_index,level_1,level_2
0,1:1,0.010744799999999999,CLEMENTI CENTRAL,37,1,1_1
1,1:2,0.00887973,BOULEVARD,79,1,1_2
2,1:3,0.00845773,MARITIME SQUARE,38,1,1_3
3,1:4,0.00761665,TIONG BAHRU STATION,126,1,1_4
4,1:5,0.00640273,CLEMENTI NORTH,163,1,1_5
5,1:6,0.00617893,CHINATOWN,5,1,1_6
6,1:7,0.00562998,ALEXANDRA HILL,106,1,1_7
7,1:8,0.00534631,BUKIT MERAH,194,1,1_8
8,1:9,0.00526265,SOMERSET,76,1,1_9
9,1:10,0.00514488,TELOK BLANGAH DRIVE,142,1,1_10
10,1:11,0.00510823,BUGIS,95,1,1_11
11,1:12,0.00497034,CITY HALL,206,1,1_12
12,1:13,0.00389624,ONE NORTH,112,1,1_13
13,1:14,0.00386438,DHOBY GHAUT,233,1,1_14
14,1:15,0.00357624,PEOPLE'S PARK,177,1,1_15
15,1:16,0.00345525,REDHILL,84,1,1_16
16,1:17,0.00336177,BRAS BASAH,212,1,1_17
17,1:18,0.00332149,CLEMENTI WOODS,15,1,1_18
18,1:19,0.00331959,HENDERSON HILL,125,1,1_19
19,1:20,0.00322657,HOLLAND ROAD,51,1,1_20
20,1:21,0.00320131,CRAWFORD,92,1,1_21
21,1:22,0.00302728,TELOK BLANGAH RISE,146,1,1_22
22,1:23,0.00298175,MEI CHIN,169,1,1_23
23,1:24,0.00295069,DOVER,228,1,1_24
24,1:25,0.00294603,CLEMENTI WEST,213,1,1_25
25,1:26,0.00279395,NEWTON CIRCUS,205,1,1_26
26,1:27,0.00274017,NATIONAL UNIVERSITY OF S'PORE,244,1,1_27
27,1:28,0.00268954,CHINA SQUARE,87,1,1_28
28,1:29,0.00267617,TANGLIN HALT,195,1,1_29
29,1:30,0.0026107,KAMPONG TIONG BAHRU,200,1,1_30
30,1:31,0.00258682,SINGAPORE GENERAL HOSPITAL,145,1,1_31
31,1:32,0.00258087,CENTRAL SUBZONE,109,1,1_32
32,1:33,0.00254204,EVERTON PARK,174,1,1_33
33,1:34,0.0023998,PEARL'S HILL,17,1,1_34
34,1:35,0.00232899,TIONG BAHRU,97,1,1_35
35,1:36,0.00232521,MARINA CENTRE,49,1,1_36
36,1:37,0.0022212,HOLLAND DRIVE,102,1,1_37
37,1:38,0.00218618,TELOK BLANGAH WAY,53,1,1_38
38,1:39,0.00208949,NASSIM,111,1,1_39
39,1:40,0.0020729,PASIR PANJANG 1,204,1,1_40
40,1:41,0.00198178,SINGAPORE POLYTECHNIC,105,1,1_41
41,1:42,0.0019774999999999997,CHATSWORTH,248,1,1_42
42,1:43,0.00197147,COMMONWEALTH,171,1,1_43
43,1:44,0.00191094,CLARKE QUAY,154,1,1_44
44,1:45,0.00189304,PASIR PANJANG 2,59,1,1_45
45,1:46,0.0018434,MARGARET DRIVE,52,1,1_46
46,1:47,0.00177578,GHIM MOH,101,1,1_47
47,1:48,0.00176049,CECIL,218,1,1_48
48,1:49,0.00174355,BUKIT HO SWEE,138,1,1_49
49,1:50,0.00155851,CORONATION ROAD,115,1,1_50
50,1:51,0.00153551,RAFFLES PLACE,272,1,1_51
51,1:52,0.00149056,DEPOT ROAD,219,1,1_52
52,1:53,0.00145077,ROBERTSON QUAY,225,1,1_53
53,1:54,0.00141122,TYERSALL,227,1,1_54
54,1:55,0.00140606,BAYFRONT SUBZONE,282,1,1_55
55,1:56,0.00139563,LEEDON PARK,270,1,1_56
56,1:57,0.00134681,CLIFFORD PIER,255,1,1_57
57,1:58,0.00129139,BOAT QUAY,231,1,1_58
58,1:59,0.00120205,FABER,246,1,1_59
59,1:60,0.00116554,RIDOUT,234,1,1_60
60,1:61,0.00115096,ULU PANDAN,242,1,1_61
61,1:62,0.00112701,QUEENSWAY,183,1,1_62
62,1:63,0.00102906,FARRER COURT,274,1,1_63
63,1:64,0.000997832,GOODWOOD PARK,113,1,1_64
64,1:65,0.0009651289999999999,FORT CANNING,261,1,1_65
65,1:66,0.00095081,DUNEARN,223,1,1_66
66,1:67,0.0009078589999999999,PORT,6,1,1_67
67,1:68,0.000866224,KAMPONG GLAM,178,1,1_68
68,1:69,0.000836567,ANSON,238,1,1_69
69,1:70,0.000805197,CITY TERMINALS,236,1,1_70
70,1:71,0.0007805039999999999,TANJONG PAGAR,220,1,1_71
