ind,node,weekday_in_core,weekday_out_core,weekend_in_core,weekend_out_core,weekday_in_core_lvl,weekday_out_core_lvl,weekend_in_core_lvl,weekend_out_core_lvl
56,CLEMENTI WOODS,5403,5179,5059,4752,1,1,1,1
57,CLIFFORD PIER,3715,3557,2581,2767,0,0,0,0
58,COMMONWEALTH,7220,7231,6252,6171,1,1,1,1
59,COMPASSVALE,7385,7318,6252,6239,1,1,1,1
60,CORONATION ROAD,6385,6527,5501,5666,1,1,1,1
61,CRAWFORD,6610,6527,5986,6106,1,1,1,1
62,DAIRY FARM,4744,5102,4154,4173,1,1,0,1
63,DEFU INDUSTRIAL PARK,3235,3318,2709,3000,0,0,0,0
64,DEPOT ROAD,2767,2685,2324,2325,0,0,0,0
65,DHOBY GHAUT,7385,7318,6252,6239,1,1,1,1
66,DOVER,5104,4696,4440,4033,1,1,0,0
67,DUNEARN,3264,4445,3089,3930,0,0,0,0
68,EVERTON PARK,4908,4445,4589,4058,1,0,1,0
69,FABER,3187,3370,2634,2880,0,0,0,0
70,FAJAR,5369,5863,5059,5445,1,1,1,1
71,FARRER COURT,5602,5800,4909,5072,1,1,1,1
72,FARRER PARK,7385,7318,6252,6239,1,1,1,1
73,FERNVALE,7385,7318,6252,6239,1,1,1,1
74,FLORA DRIVE,3524,3554,3040,3181,0,0,0,0
75,FORT CANNING,2514,2767,2372,2893,0,0,0,0
76,FRANKEL,7385,6894,6252,6106,1,1,1,1
77,GALI BATU,3444,3193,3649,3569,0,0,0,0
78,GEYLANG BAHRU,6610,6527,5904,6106,1,1,1,1
79,GEYLANG EAST,7385,7318,6252,6239,1,1,1,1
80,GHIM MOH,3028,3537,2812,3388,0,0,0,0
81,GOMBAK,7385,7318,6252,6171,1,1,1,1
82,GOODWOOD PARK,2403,1894,2004,1692,0,0,0,0
83,GREENWOOD PARK,1341,1275,645,1089,0,0,0,0
84,GUILIN,7385,7318,6252,6171,1,1,1,1
85,GUL BASIN,484,314,352,291,0,0,0,0
86,GUL CIRCLE,4699,5155,4077,4471,0,1,0,1
87,HENDERSON HILL,5054,5374,4589,5040,1,1,1,1
88,HILLCREST,2689,3352,2114,2880,0,0,0,0
89,HILLVIEW,4584,4446,4154,4058,0,0,0,0
90,HOLLAND DRIVE,4397,4696,4154,4298,0,1,0,1
91,HOLLAND ROAD,6385,6894,5501,5684,1,1,1,1
92,HONG KAH,5186,5700,5059,5451,1,1,1,1
93,HONG KAH NORTH,3811,4093,3445,3745,0,0,0,0
94,HOUGANG CENTRAL,7385,7318,6252,6239,1,1,1,1
95,HOUGANG EAST,5499,5320,5044,4808,1,1,1,1
96,HOUGANG WEST,6424,6396,5904,5684,1,1,1,1
97,INSTITUTION HILL,1518,1409,1498,1367,0,0,0,0
98,INTERNATIONAL BUSINESS PARK,2305,2561,1357,1664,0,0,0,0
99,ISTANA NEGARA,568,620,435,462,0,0,0,0
100,JELEBU,7385,7196,6252,6171,1,1,1,1
101,JOO KOON,7268,7196,6252,6106,1,1,1,1
102,JOO SENG,7385,7318,6113,6073,1,1,1,1
103,JURONG GATEWAY,7385,7318,6252,6239,1,1,1,1
104,JURONG PORT,941,850,700,675,0,0,0,0
105,JURONG RIVER,2250,1131,2588,1064,0,0,0,0
