ind,node,level_1_weekday,level_1_weekend
178,SINGAPORE POLYTECHNIC,7,14
179,NATIONAL UNIVERSITY OF S'PORE,7,13
180,CLEMENTI WOODS,7,13
181,CLEMENTI WEST,7,13
182,DOVER,7,14
183,TANGLIN HALT,7,14
184,HOLLAND DRIVE,7,14
185,LEEDON PARK,7,14
186,PASIR PANJANG 1,7,13
187,MARGARET DRIVE,7,14
188,GHIM MOH,7,14
189,FARRER COURT,7,14
190,FABER,7,13
191,PANDAN,7,13
192,WEST COAST,7,13
193,QUEENSWAY,7,14
194,ULU PANDAN,7,14
195,RIDOUT,7,14
196,SUNSET WAY,7,13
197,PORT,7,13
198,KENT RIDGE,7,14
199,TIONG BAHRU STATION,8,8
200,MARITIME SQUARE,8,8
201,REDHILL,8,8
202,BUKIT MERAH,8,8
203,HENDERSON HILL,8,8
204,ALEXANDRA HILL,8,8
205,TELOK BLANGAH DRIVE,8,8
206,TIONG BAHRU,8,8
207,TELOK BLANGAH RISE,8,8
208,TELOK BLANGAH WAY,8,8
209,KAMPONG TIONG BAHRU,8,8
210,BUKIT HO SWEE,8,8
211,DEPOT ROAD,8,8
212,PASIR PANJANG 2,8,8
213,CITY TERMINALS,8,8
214,ALEXANDRA NORTH,8,8
215,SENTOSA,8,8
216,YISHUN CENTRAL,9,9
217,YISHUN WEST,9,9
218,YISHUN EAST,9,9
219,YISHUN SOUTH,9,9
220,KHATIB,9,9
221,NORTHLAND,9,9
222,LOWER SELETAR,9,9
223,SPRINGLEAF,9,10
224,NEE SOON,9,10
225,MANDAI ESTATE,9,9
226,ANG MO KIO TOWN CENTRE,10,10
227,CHENG SAN,10,10
228,CHONG BOON,10,10
229,YIO CHU KANG,10,10
230,KEBUN BAHRU,10,10
231,SHANGRI-LA,10,10
232,TOWNSVILLE,10,10
233,YIO CHU KANG WEST,10,10
234,YIO CHU KANG EAST,10,10
235,SELETAR HILLS,10,10
236,SERANGOON NORTH IND ESTATE,10,10
237,SEMBAWANG HILLS,10,10
238,TAGORE,10,10
239,YIO CHU KANG NORTH,10,10
240,SENGKANG WEST,10,10
241,TOA PAYOH CENTRAL,11,11
242,BALESTIER,11,11
243,TOA PAYOH WEST,11,11
244,BOON TECK,11,11
245,BRADDELL,11,11
246,LORONG 8 TOA PAYOH,11,11
247,PEI CHUN,11,11
248,KIM KEAT,11,11
249,SERANGOON CENTRAL,12,12
250,SERANGOON GARDEN,12,12
251,KOVAN,12,12
252,LORONG AH SOO,12,12
253,JOO SENG,12,12
254,SERANGOON NORTH,12,12
255,UPPER PAYA LEBAR,12,12
256,TAI SENG,12,12
257,LORONG CHUAN,12,12
258,BIDADARI,12,12
259,BUKIT BATOK CENTRAL,13,4
260,GUILIN,13,4
261,BUKIT BATOK WEST,13,4
262,BUKIT BATOK SOUTH,13,4
263,BRICKWORKS,13,4
264,HONG KAH NORTH,13,4
265,BUKIT BATOK EAST,13,4
266,HILLVIEW,13,4
267,TENGAH,13,4
268,BENDEMEER,14,1
269,BOON KENG,14,1
270,KALLANG BAHRU,14,1
271,GEYLANG BAHRU,14,1
272,POTONG PASIR,14,1
273,SENNETT,14,1
274,KALLANG WAY,14,2
275,WOODLEIGH,14,1
276,SEMBAWANG CENTRAL,15,15
277,SEMBAWANG NORTH,15,15
278,ADMIRALTY,15,15
279,SEMBAWANG EAST,15,15
280,SEMBAWANG SPRINGS,15,15
281,SENOKO NORTH,15,15
282,MANDAI EAST,15,15
283,SEMBAWANG STRAITS,15,15
284,THE WHARVES,15,15
285,ANAK BUKIT,16,4
286,GOMBAK,16,5
287,HOLLAND ROAD,16,14
288,CORONATION ROAD,16,14
289,TYERSALL,16,1
290,SWISS CLUB,16,17
291,NATURE RESERVE,16,5
292,DUNEARN,16,1
293,HILLCREST,16,17
294,CENTRAL WATER CATCHMENT,16,10
295,MOUNT PLEASANT,16,1
296,MANDAI WEST,16,5
297,TUAS BAY,17,16
298,TUAS NORTH,17,16
299,TUAS PROMENADE,17,16
300,TUAS VIEW,17,16
301,TUAS VIEW EXTENSION,17,16
302,TENGEH,17,16
