ind,node,weekday_in_core,weekday_out_core,weekend_in_core,weekend_out_core,weekday_in_core_lvl,weekday_out_core_lvl,weekend_in_core_lvl,weekend_out_core_lvl,weekday_ksc_ent_in,weekday_ksc_ent_out,weekend_ksc_ent_in,weekend_ksc_ent_out
45,CHINA SQUARE,6731,6527,6252,5760,1,1,1,1,0.23573267655921612,0.5904511761643182,0.21293392344036557,0.6300643345684357
46,CHINATOWN,7385,7318,6252,6239,1,1,1,1,0.17369425635984853,0.4167307225668229,0.18798906433041676,0.4618136129995892
47,CHOA CHU KANG CENTRAL,7385,7318,6252,6239,1,1,1,1,0.8932289818685609,0.9032705311212029,0.9153535203221363,0.9038508437441186
48,CHOA CHU KANG NORTH,1731,1865,1534,1625,0,0,0,0,0.20717918207213962,0.04556393296764761,0.17544452154024148,0.04628793302342996
49,CHONG BOON,5789,6396,5321,5684,1,1,1,1,0.2894499425868016,0.5810741637466025,0.22057133210566549,0.6139215479412253
50,CITY HALL,7385,7318,6252,6239,1,1,1,1,0.23700091220466946,0.3646076102417054,0.19724338403253067,0.3177687566285035
51,CITY TERMINALS,3349,2817,2896,2325,0,0,0,0,0.6960473718570616,0.7653846410427264,0.5916727785823279,0.7799926799656985
52,CLARKE QUAY,7385,7318,6252,6171,1,1,1,1,0.38421485971472497,0.44700158835699716,0.43310236192326124,0.4281519927292984
53,CLEMENTI CENTRAL,6385,6483,5501,5684,1,1,1,1,0.9047741868172196,0.9984873929119467,0.9504253335353827,0.9413626025742113
54,CLEMENTI NORTH,7385,7318,6252,6239,1,1,1,1,0.4863325567763257,0.29298030564594196,0.48264338110626104,0.3458152587570057
55,CLEMENTI WEST,4587,3256,4434,3072,0,0,0,0,0.2303632745909106,0.819167725785525,0.23176677145808866,0.4003689354823185
56,CLEMENTI WOODS,5403,5179,5059,4752,1,1,1,1,0.46375397032562504,0.7531979910695015,0.4805531965057959,0.6397027276413424
57,CLIFFORD PIER,3715,3557,2581,2767,0,0,0,0,0.7096831613509584,0.7854579068428612,0.6965467694177366,0.7569080284191362
58,COMMONWEALTH,7220,7231,6252,6171,1,1,1,1,0.6895844615424506,0.4840406325932871,0.7145161627948597,0.5051211980474307
59,COMPASSVALE,7385,7318,6252,6239,1,1,1,1,0.08451596573566815,0.14635373292827386,0.08393846672745525,0.1674734293548361
60,CORONATION ROAD,6385,6527,5501,5666,1,1,1,1,0.4138382773560063,0.355785328271175,0.5100706054780373,0.350978941077035
61,CRAWFORD,6610,6527,5986,6106,1,1,1,1,0.46793724118308117,0.49068279720138436,0.3186046290746138,0.4925871538541421
62,DAIRY FARM,4744,5102,4154,4173,1,1,0,1,0.6898463353985326,0.3583686614882105,0.5987900597515007,0.2976528536701856
63,DEFU INDUSTRIAL PARK,3235,3318,2709,3000,0,0,0,0,0.35256888143186166,0.28702574324292685,0.28318198577365017,0.3750280381470183
64,DEPOT ROAD,2767,2685,2324,2325,0,0,0,0,0.9276661034282772,0.7823486945975743,0.8492371812467535,0.802195021975253
