ind,sub_zone,xx,yy
114,TUKANG,14192.465474000428,34209.55068525991
115,CORONATION ROAD,24463.149083049786,34200.33394610333
116,KEMBANGAN,37158.70152597109,34115.96834310454
117,KATONG,35680.90070278952,32176.35068347094
118,HOLLAND DRIVE,23711.43705618622,32294.772192995923
119,FARRER PARK,30093.415208754835,32386.2107714154
120,NEWTON CIRCUS,28587.16269589719,32653.94284093081
121,JURONG PORT,15250.743384648242,32183.916017764193
122,SAMULUN,13418.492209985587,32264.59333432862
123,SHIPYARD,11970.142817380833,32202.385405285226
124,GHIM MOH,22899.189707113168,32579.935350834006
125,LAVENDER,30874.406449106886,32569.526456947464
126,GOODWOOD PARK,28108.880722814643,32875.26700631441
127,PANDAN,19228.603304213026,32265.401001124526
128,SINGAPORE POLYTECHNIC,21751.75103053642,32627.894796950524
129,CLEMENTI CENTRAL,20183.449679705915,32707.539452139346
130,KAMPONG JAVA,29891.531182876795,32888.52977944376
131,BOON KENG,32338.32129860495,33018.76071739752
132,KALLANG BAHRU,31579.288967951517,32929.527661813365
133,ULU PANDAN,22210.509339814565,33177.22084015704
134,JURONG GATEWAY,17912.97782668322,35033.90614907108
135,HOLLAND ROAD,22485.019340270064,34364.28965541641
136,KAMPONG UBI,35039.54952054741,34647.26335982933
137,SENNETT,32485.48989132639,35050.196588656974
138,POTONG PASIR,31596.799068953707,35028.10434418698
139,TUAS NORTH,7737.032919245572,34331.08519958847
140,PEI CHUN,30814.328258380167,35440.97036622371
141,BOON TECK,30193.134931548204,35272.747408820775
142,KIAN TECK,12929.74519311452,34857.75324752137
143,SAFTI,11290.267413112275,35199.67048840529
144,WOODLEIGH,31670.478564850764,35799.901960306786
145,TAMAN JURONG,15522.036299892932,35189.13951045098
146,LAKESIDE,16697.011877055575,35114.90626630187
147,TOA PAYOH WEST,28943.192300328454,35787.347878518216
148,KAKI BUKIT,36485.39517446239,35307.04080713547
149,YUHUA EAST,17485.175463876916,35841.780067273954
150,BUKIT BATOK SOUTH,19631.8730143177,35910.96356974266
151,JURONG WEST CENTRAL,13396.626176247824,35811.72616693807
152,BEDOK RESERVOIR,38351.116697872814,35800.60767872112
153,TOH TUCK,19433.120409303167,34884.24814481723
154,MOUNT PLEASANT,27515.312527188988,35112.61835675621
155,HILLCREST,25207.842613947454,35039.29424787081
156,JOO SENG,33454.069079516026,35419.7276905794
157,CHIN BEE,14631.805947475345,35240.970393008574
158,LORONG 8 TOA PAYOH,30646.842994452676,35893.11268456182
159,TOH GUAN,18294.17741956271,35518.17003930615
160,BRADDELL,29811.600606058993,35855.51003411173
161,BIDADARI,32632.539491021416,35918.015083539736
162,ALJUNIED,33592.57597552084,32970.83016549267
163,TYERSALL,25732.653605593776,32985.84941483235
164,MOULMEIN,29057.441598430312,33323.92217556762
165,LIU FANG,14079.100430344712,33391.56235811993
166,FRANKEL,37694.55192905495,33007.26798547237
167,CLEMENTI NORTH,20613.245074511975,33368.822558973545
168,LEEDON PARK,23947.764053419327,33247.68115361364
169,GEYLANG EAST,35237.16811852536,33246.058731668905
170,TEBAN GARDENS,17965.72251708824,33016.340300421136
171,BOON LAY PLACE,14403.778894153533,36444.62750039651
172,BUKIT BATOK EAST,19566.36135946296,36806.30159336412
173,BUKIT BATOK WEST,17865.88385032783,36623.213408896496
174,BUKIT BATOK CENTRAL,18773.557893829093,36680.052416310515
175,UPPER PAYA LEBAR,32866.52290724146,36522.074162381025
176,HONG KAH,15507.93463697698,36890.28106465117
177,TUAS PROMENADE,5918.995686900978,34910.582131282375
178,AIRPORT ROAD,35133.31546127115,37075.3184444804
179,SERANGOON CENTRAL,32157.374641826187,37148.6070374074
180,BISHAN EAST,30191.909235033578,36882.193980520504
181,TAMPINES WEST,39421.657135673464,36739.206926782084
182,BRICKWORKS,17861.636470452515,37527.33440354433
183,DEFU INDUSTRIAL PARK,34951.39613885811,37089.43309924034
184,GUILIN,19151.827673499884,37505.979312040174
185,MARYMOUNT,29287.585346406555,37383.7640446006
186,WENYA,13953.527110915462,37532.720903719426
187,NATURE RESERVE,21822.627365703767,37285.26155418757
188,TAMPINES EAST,41122.54701422137,37392.38908246012
189,TAI SENG,34043.04547353803,36213.01163935063
190,TENGEH,7798.167715521637,35535.612755582784
191,YUHUA WEST,16721.252554125156,36571.26462537872
192,YUNNAN,12593.14125603731,36299.93352123209
193,LORONG CHUAN,31327.76283858814,36732.63168143296
194,DUNEARN,26525.527855372544,34268.854766534845
195,SUNSET WAY,20805.313109209095,34279.45219477298
196,MACPHERSON,33774.348363963334,34399.161402549566
197,KIM KEAT,30817.606128782354,34898.8968112739
198,BEDOK NORTH,39429.21049156652,34737.619446747325
199,TOA PAYOH CENTRAL,29409.74386720297,34982.19624910886
200,PAYA LEBAR NORTH,38291.97884939949,39463.33191066482
201,HOUGANG EAST,35128.00086020315,39812.38575361663
202,LORONG HALUS,35870.25681364535,39071.43841045952
203,KANGKAR,35222.44094552205,39071.33995486339
204,SEMBAWANG HILLS,27715.92362274355,39634.529022206014
205,JELEBU,20535.39019218585,39769.44451157919
206,KEAT HONG,18333.674082127018,39720.61979007088
207,HOUGANG WEST,33849.22059854426,39506.87246417263
208,PAYA LEBAR WEST,36649.31066899246,39403.4873723913
209,BANGKIT,21431.22861934829,39899.52728147133
210,ANAK BUKIT,21127.191865165652,35561.88405756135
211,SWISS CLUB,23436.268864296657,35866.36797523307
212,XILIN,43110.614114147545,34607.313266481964
213,SIMEI,41431.06319789565,35870.78529241022
214,PENG SIANG,17462.29208869116,40146.41131634766
215,PASIR RIS WEST,39851.40921206318,40140.22376764719
216,YIO CHU KANG WEST,28750.497907953646,40360.62629937161
